rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
193,139,199,115,193,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
1,37,133,19,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
181,19,163,199,157,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
49,49,13,175,25,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
145,1,73,193,79,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
31,91,67,133,19,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
19,25,25,91,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
199,187,193,187,199,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
133,73,115,91,139,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
73,127,145,37,97,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
7,79,37,115,7,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
67,7,1,139,55,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
73,43,19,37,97,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
103,67,7,61,115,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
205,199,187,157,205,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
103,157,127,61,115,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
175,103,79,139,187,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
91,31,175,157,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
157,133,169,139,151,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
25,97,31,13,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
61,85,43,19,91,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
187,205,205,205,163,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
43,193,103,61,49,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
133,175,109,91,139,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
73,109,91,37,97,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
