rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
487,501,483,492,333,"{'max_bin': 5, 'min_child_samples': 10}"
510,427,509,504,518,"{'max_bin': 5, 'min_child_samples': 20}"
491,510,500,499,276,"{'max_bin': 5, 'min_child_samples': 30}"
514,518,502,514,510,"{'max_bin': 5, 'min_child_samples': 40}"
501,511,512,505,353,"{'max_bin': 5, 'min_child_samples': 50}"
515,513,506,515,511,"{'max_bin': 5, 'min_child_samples': 60}"
498,508,498,500,346,"{'max_bin': 5, 'min_child_samples': 70}"
467,495,481,492,147,"{'max_bin': 5, 'min_child_samples': 80}"
513,509,515,509,514,"{'max_bin': 5, 'min_child_samples': 90}"
502,502,505,507,301,"{'max_bin': 5, 'min_child_samples': 100}"
512,515,496,510,454,"{'max_bin': 5, 'min_child_samples': 110}"
508,517,514,507,450,"{'max_bin': 5, 'min_child_samples': 120}"
511,506,510,512,420,"{'max_bin': 5, 'min_child_samples': 130}"
507,507,501,512,200,"{'max_bin': 5, 'min_child_samples': 140}"
509,519,508,510,365,"{'max_bin': 5, 'min_child_samples': 150}"
518,494,516,517,520,"{'max_bin': 5, 'min_child_samples': 160}"
519,516,520,519,500,"{'max_bin': 5, 'min_child_samples': 170}"
517,512,519,518,515,"{'max_bin': 5, 'min_child_samples': 180}"
516,514,517,516,471,"{'max_bin': 5, 'min_child_samples': 190}"
520,520,518,520,519,"{'max_bin': 5, 'min_child_samples': 200}"
503,504,485,492,517,"{'max_bin': 15, 'min_child_samples': 10}"
407,391,451,316,469,"{'max_bin': 15, 'min_child_samples': 20}"
172,257,283,229,108,"{'max_bin': 15, 'min_child_samples': 30}"
412,497,497,397,348,"{'max_bin': 15, 'min_child_samples': 40}"
302,316,406,316,221,"{'max_bin': 15, 'min_child_samples': 50}"
504,483,499,498,503,"{'max_bin': 15, 'min_child_samples': 60}"
375,482,430,384,288,"{'max_bin': 15, 'min_child_samples': 70}"
475,459,484,485,321,"{'max_bin': 15, 'min_child_samples': 80}"
483,431,396,474,417,"{'max_bin': 15, 'min_child_samples': 90}"
422,385,302,453,238,"{'max_bin': 15, 'min_child_samples': 100}"
384,454,384,438,181,"{'max_bin': 15, 'min_child_samples': 110}"
490,503,475,474,498,"{'max_bin': 15, 'min_child_samples': 120}"
492,319,452,490,459,"{'max_bin': 15, 'min_child_samples': 130}"
386,452,473,419,231,"{'max_bin': 15, 'min_child_samples': 140}"
493,433,503,496,380,"{'max_bin': 15, 'min_child_samples': 150}"
440,486,495,481,99,"{'max_bin': 15, 'min_child_samples': 160}"
329,449,461,229,428,"{'max_bin': 15, 'min_child_samples': 170}"
483,471,513,474,417,"{'max_bin': 15, 'min_child_samples': 180}"
499,481,511,500,440,"{'max_bin': 15, 'min_child_samples': 190}"
505,491,507,506,400,"{'max_bin': 15, 'min_child_samples': 200}"
386,457,236,419,231,"{'max_bin': 25, 'min_child_samples': 10}"
281,213,360,229,336,"{'max_bin': 25, 'min_child_samples': 20}"
220,284,279,316,70,"{'max_bin': 25, 'min_child_samples': 30}"
95,493,332,98,135,"{'max_bin': 25, 'min_child_samples': 40}"
434,301,435,463,241,"{'max_bin': 25, 'min_child_samples': 50}"
249,429,64,290,162,"{'max_bin': 25, 'min_child_samples': 60}"
212,426,104,131,370,"{'max_bin': 25, 'min_child_samples': 70}"
158,356,127,198,107,"{'max_bin': 25, 'min_child_samples': 80}"
22,343,42,60,9,"{'max_bin': 25, 'min_child_samples': 90}"
197,101,139,229,153,"{'max_bin': 25, 'min_child_samples': 100}"
428,326,464,419,354,"{'max_bin': 25, 'min_child_samples': 110}"
375,273,362,384,288,"{'max_bin': 25, 'min_child_samples': 120}"
85,351,95,198,21,"{'max_bin': 25, 'min_child_samples': 130}"
292,360,108,360,118,"{'max_bin': 25, 'min_child_samples': 140}"
460,484,488,438,474,"{'max_bin': 25, 'min_child_samples': 150}"
217,467,329,397,6,"{'max_bin': 25, 'min_child_samples': 160}"
493,150,339,496,380,"{'max_bin': 25, 'min_child_samples': 170}"
471,99,407,481,320,"{'max_bin': 25, 'min_child_samples': 180}"
506,492,504,500,506,"{'max_bin': 25, 'min_child_samples': 190}"
421,453,489,466,132,"{'max_bin': 25, 'min_child_samples': 200}"
45,155,199,26,179,"{'max_bin': 35, 'min_child_samples': 10}"
136,396,144,131,195,"{'max_bin': 35, 'min_child_samples': 20}"
174,468,212,198,147,"{'max_bin': 35, 'min_child_samples': 30}"
474,465,268,397,513,"{'max_bin': 35, 'min_child_samples': 40}"
465,472,463,419,493,"{'max_bin': 35, 'min_child_samples': 50}"
386,487,294,419,231,"{'max_bin': 35, 'min_child_samples': 60}"
393,354,317,397,293,"{'max_bin': 35, 'min_child_samples': 70}"
185,24,57,98,365,"{'max_bin': 35, 'min_child_samples': 80}"
441,238,74,419,400,"{'max_bin': 35, 'min_child_samples': 90}"
228,369,257,229,211,"{'max_bin': 35, 'min_child_samples': 100}"
452,443,242,419,449,"{'max_bin': 35, 'min_child_samples': 110}"
287,314,263,151,457,"{'max_bin': 35, 'min_child_samples': 120}"
39,261,134,17,175,"{'max_bin': 35, 'min_child_samples': 130}"
193,149,170,316,44,"{'max_bin': 35, 'min_child_samples': 140}"
460,401,416,438,474,"{'max_bin': 35, 'min_child_samples': 150}"
496,441,490,490,481,"{'max_bin': 35, 'min_child_samples': 160}"
336,410,215,360,224,"{'max_bin': 35, 'min_child_samples': 170}"
272,127,9,316,165,"{'max_bin': 35, 'min_child_samples': 180}"
218,116,328,360,27,"{'max_bin': 35, 'min_child_samples': 190}"
262,434,442,419,13,"{'max_bin': 35, 'min_child_samples': 200}"
372,474,137,397,228,"{'max_bin': 45, 'min_child_samples': 10}"
107,473,369,33,358,"{'max_bin': 45, 'min_child_samples': 20}"
8,445,93,2,165,"{'max_bin': 45, 'min_child_samples': 30}"
478,172,194,453,494,"{'max_bin': 45, 'min_child_samples': 40}"
455,104,401,360,507,"{'max_bin': 45, 'min_child_samples': 50}"
411,367,433,229,511,"{'max_bin': 45, 'min_child_samples': 60}"
435,338,383,340,489,"{'max_bin': 45, 'min_child_samples': 70}"
291,162,89,384,79,"{'max_bin': 45, 'min_child_samples': 80}"
252,235,266,261,216,"{'max_bin': 45, 'min_child_samples': 90}"
425,419,342,438,301,"{'max_bin': 45, 'min_child_samples': 100}"
179,14,3,173,204,"{'max_bin': 45, 'min_child_samples': 110}"
401,305,398,360,393,"{'max_bin': 45, 'min_child_samples': 120}"
74,404,111,98,95,"{'max_bin': 45, 'min_child_samples': 130}"
233,488,375,198,260,"{'max_bin': 45, 'min_child_samples': 140}"
352,68,295,397,173,"{'max_bin': 45, 'min_child_samples': 150}"
441,62,393,419,400,"{'max_bin': 45, 'min_child_samples': 160}"
349,417,381,419,127,"{'max_bin': 45, 'min_child_samples': 170}"
495,444,478,474,509,"{'max_bin': 45, 'min_child_samples': 180}"
197,505,456,229,153,"{'max_bin': 45, 'min_child_samples': 190}"
369,430,487,419,177,"{'max_bin': 45, 'min_child_samples': 200}"
95,285,102,98,135,"{'max_bin': 55, 'min_child_samples': 10}"
204,446,164,198,207,"{'max_bin': 55, 'min_child_samples': 20}"
191,489,110,60,452,"{'max_bin': 55, 'min_child_samples': 30}"
141,381,67,98,246,"{'max_bin': 55, 'min_child_samples': 40}"
13,448,85,7,124,"{'max_bin': 55, 'min_child_samples': 50}"
6,311,46,5,73,"{'max_bin': 55, 'min_child_samples': 60}"
212,382,62,131,370,"{'max_bin': 55, 'min_child_samples': 70}"
131,8,34,151,140,"{'max_bin': 55, 'min_child_samples': 80}"
126,286,185,229,41,"{'max_bin': 55, 'min_child_samples': 90}"
255,477,191,229,265,"{'max_bin': 55, 'min_child_samples': 100}"
141,70,37,98,246,"{'max_bin': 55, 'min_child_samples': 110}"
141,490,90,98,246,"{'max_bin': 55, 'min_child_samples': 120}"
88,458,145,173,38,"{'max_bin': 55, 'min_child_samples': 130}"
412,424,171,397,348,"{'max_bin': 55, 'min_child_samples': 140}"
393,50,18,397,293,"{'max_bin': 55, 'min_child_samples': 150}"
155,145,355,261,42,"{'max_bin': 55, 'min_child_samples': 160}"
71,414,275,173,20,"{'max_bin': 55, 'min_child_samples': 170}"
460,9,270,438,474,"{'max_bin': 55, 'min_child_samples': 180}"
192,189,344,340,26,"{'max_bin': 55, 'min_child_samples': 190}"
292,428,265,360,118,"{'max_bin': 55, 'min_child_samples': 200}"
212,327,20,131,370,"{'max_bin': 65, 'min_child_samples': 10}"
341,451,309,290,387,"{'max_bin': 65, 'min_child_samples': 20}"
188,191,112,84,413,"{'max_bin': 65, 'min_child_samples': 30}"
393,264,129,397,293,"{'max_bin': 65, 'min_child_samples': 40}"
60,331,238,33,182,"{'max_bin': 65, 'min_child_samples': 50}"
233,329,13,198,260,"{'max_bin': 65, 'min_child_samples': 60}"
59,355,86,45,131,"{'max_bin': 65, 'min_child_samples': 70}"
10,435,12,11,28,"{'max_bin': 65, 'min_child_samples': 80}"
313,88,378,173,459,"{'max_bin': 65, 'min_child_samples': 90}"
15,118,120,45,5,"{'max_bin': 65, 'min_child_samples': 100}"
481,400,289,481,370,"{'max_bin': 65, 'min_child_samples': 110}"
386,211,282,419,231,"{'max_bin': 65, 'min_child_samples': 120}"
136,339,340,131,195,"{'max_bin': 65, 'min_child_samples': 130}"
68,440,166,84,94,"{'max_bin': 65, 'min_child_samples': 140}"
359,216,190,316,390,"{'max_bin': 65, 'min_child_samples': 150}"
249,40,223,290,162,"{'max_bin': 65, 'min_child_samples': 160}"
318,423,262,316,277,"{'max_bin': 65, 'min_child_samples': 170}"
352,466,256,397,173,"{'max_bin': 65, 'min_child_samples': 180}"
270,361,99,340,116,"{'max_bin': 65, 'min_child_samples': 190}"
85,290,307,198,21,"{'max_bin': 65, 'min_child_samples': 200}"
60,240,229,33,182,"{'max_bin': 75, 'min_child_samples': 10}"
19,383,44,11,125,"{'max_bin': 75, 'min_child_samples': 20}"
118,157,133,60,308,"{'max_bin': 75, 'min_child_samples': 30}"
382,386,319,290,467,"{'max_bin': 75, 'min_child_samples': 40}"
258,469,373,198,333,"{'max_bin': 75, 'min_child_samples': 50}"
449,378,410,438,404,"{'max_bin': 75, 'min_child_samples': 60}"
473,227,408,470,413,"{'max_bin': 75, 'min_child_samples': 70}"
27,165,216,17,127,"{'max_bin': 75, 'min_child_samples': 80}"
112,87,161,151,103,"{'max_bin': 75, 'min_child_samples': 90}"
156,280,77,229,66,"{'max_bin': 75, 'min_child_samples': 100}"
448,72,123,453,358,"{'max_bin': 75, 'min_child_samples': 110}"
20,49,6,33,30,"{'max_bin': 75, 'min_child_samples': 120}"
399,252,385,384,347,"{'max_bin': 75, 'min_child_samples': 130}"
466,205,390,470,363,"{'max_bin': 75, 'min_child_samples': 140}"
468,42,343,466,410,"{'max_bin': 75, 'min_child_samples': 150}"
193,265,221,316,44,"{'max_bin': 75, 'min_child_samples': 160}"
223,10,43,290,111,"{'max_bin': 75, 'min_child_samples': 170}"
393,387,479,397,293,"{'max_bin': 75, 'min_child_samples': 180}"
412,159,88,397,348,"{'max_bin': 75, 'min_child_samples': 190}"
472,371,443,474,365,"{'max_bin': 75, 'min_child_samples': 200}"
286,323,87,173,424,"{'max_bin': 85, 'min_child_samples': 10}"
409,374,434,290,486,"{'max_bin': 85, 'min_child_samples': 20}"
435,309,409,340,489,"{'max_bin': 85, 'min_child_samples': 30}"
252,221,258,261,216,"{'max_bin': 85, 'min_child_samples': 40}"
60,432,235,33,182,"{'max_bin': 85, 'min_child_samples': 50}"
21,173,38,45,16,"{'max_bin': 85, 'min_child_samples': 60}"
422,370,445,316,487,"{'max_bin': 85, 'min_child_samples': 70}"
403,359,330,340,440,"{'max_bin': 85, 'min_child_samples': 80}"
400,144,298,173,516,"{'max_bin': 85, 'min_child_samples': 90}"
419,281,418,360,446,"{'max_bin': 85, 'min_child_samples': 100}"
23,411,308,60,17,"{'max_bin': 85, 'min_child_samples': 110}"
183,438,453,131,318,"{'max_bin': 85, 'min_child_samples': 120}"
92,389,181,131,99,"{'max_bin': 85, 'min_child_samples': 130}"
385,462,318,261,485,"{'max_bin': 85, 'min_child_samples': 140}"
433,405,427,360,471,"{'max_bin': 85, 'min_child_samples': 150}"
315,31,83,397,80,"{'max_bin': 85, 'min_child_samples': 160}"
268,388,320,360,76,"{'max_bin': 85, 'min_child_samples': 170}"
489,232,446,474,480,"{'max_bin': 85, 'min_child_samples': 180}"
454,204,296,466,308,"{'max_bin': 85, 'min_child_samples': 190}"
379,156,213,463,85,"{'max_bin': 85, 'min_child_samples': 200}"
83,399,243,11,448,"{'max_bin': 95, 'min_child_samples': 10}"
118,69,163,60,308,"{'max_bin': 95, 'min_child_samples': 20}"
303,321,288,290,274,"{'max_bin': 95, 'min_child_samples': 30}"
329,500,350,229,428,"{'max_bin': 95, 'min_child_samples': 40}"
260,303,29,173,377,"{'max_bin': 95, 'min_child_samples': 50}"
401,335,347,360,393,"{'max_bin': 95, 'min_child_samples': 60}"
27,61,107,17,127,"{'max_bin': 95, 'min_child_samples': 70}"
272,419,278,316,165,"{'max_bin': 95, 'min_child_samples': 80}"
478,437,436,453,494,"{'max_bin': 95, 'min_child_samples': 90}"
90,269,222,151,60,"{'max_bin': 95, 'min_child_samples': 100}"
362,324,151,290,434,"{'max_bin': 95, 'min_child_samples': 110}"
109,48,72,198,40,"{'max_bin': 95, 'min_child_samples': 120}"
174,365,368,198,147,"{'max_bin': 95, 'min_child_samples': 130}"
431,403,173,397,398,"{'max_bin': 95, 'min_child_samples': 140}"
382,137,458,290,467,"{'max_bin': 95, 'min_child_samples': 150}"
276,456,424,261,269,"{'max_bin': 95, 'min_child_samples': 160}"
127,124,63,198,64,"{'max_bin': 95, 'min_child_samples': 170}"
92,274,60,131,99,"{'max_bin': 95, 'min_child_samples': 180}"
170,275,196,290,43,"{'max_bin': 95, 'min_child_samples': 190}"
449,246,438,438,404,"{'max_bin': 95, 'min_child_samples': 200}"
226,170,106,261,160,"{'max_bin': 105, 'min_child_samples': 10}"
305,337,189,261,339,"{'max_bin': 105, 'min_child_samples': 20}"
369,353,264,229,484,"{'max_bin': 105, 'min_child_samples': 30}"
228,26,92,229,211,"{'max_bin': 105, 'min_child_samples': 40}"
233,54,28,198,260,"{'max_bin': 105, 'min_child_samples': 50}"
2,77,227,2,11,"{'max_bin': 105, 'min_child_samples': 60}"
298,153,267,340,168,"{'max_bin': 105, 'min_child_samples': 70}"
246,180,168,98,454,"{'max_bin': 105, 'min_child_samples': 80}"
165,418,395,98,314,"{'max_bin': 105, 'min_child_samples': 90}"
73,125,138,131,59,"{'max_bin': 105, 'min_child_samples': 100}"
249,413,293,290,162,"{'max_bin': 105, 'min_child_samples': 110}"
332,239,124,419,81,"{'max_bin': 105, 'min_child_samples': 120}"
99,255,128,84,189,"{'max_bin': 105, 'min_child_samples': 130}"
292,47,327,360,118,"{'max_bin': 105, 'min_child_samples': 140}"
354,384,389,360,283,"{'max_bin': 105, 'min_child_samples': 150}"
449,82,287,438,404,"{'max_bin': 105, 'min_child_samples': 160}"
204,20,22,198,207,"{'max_bin': 105, 'min_child_samples': 170}"
196,260,403,261,110,"{'max_bin': 105, 'min_child_samples': 180}"
366,35,217,453,83,"{'max_bin': 105, 'min_child_samples': 190}"
475,95,439,485,321,"{'max_bin': 105, 'min_child_samples': 200}"
