rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
35,180,84,52,30,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
85,149,156,70,101,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
15,204,39,18,8,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
222,188,200,214,225,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
155,122,190,200,123,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
223,161,207,225,179,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
183,162,217,205,137,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
225,103,223,224,207,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
218,120,208,214,177,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
73,159,67,70,78,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
22,197,160,18,25,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
146,174,221,187,121,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
72,98,23,127,38,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
118,200,174,127,113,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
118,189,74,127,113,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
89,173,209,109,88,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
132,101,177,156,117,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
70,102,104,90,46,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
73,160,68,70,78,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
27,50,4,18,39,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
148,114,25,127,170,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
121,169,64,70,144,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
58,217,73,52,70,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
138,209,191,164,119,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
121,185,13,70,144,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
96,216,107,31,167,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
64,215,30,40,99,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
193,144,164,170,198,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
50,214,204,40,64,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
145,133,210,211,39,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
175,168,192,170,157,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
113,113,27,90,129,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
26,109,79,40,5,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
35,141,15,52,30,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
50,48,72,40,64,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
173,57,99,156,173,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
193,145,163,170,198,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
193,143,161,170,198,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
78,158,69,90,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
193,145,162,170,198,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
35,182,88,52,30,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
30,181,82,40,29,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
193,147,165,170,198,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
193,142,155,170,198,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
78,157,70,90,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
