rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
73,12,29,81,50,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
50,23,19,40,60,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
70,82,41,57,88,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
37,11,6,36,32,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
64,87,52,64,64,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
9,88,40,8,11,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
32,7,8,8,85,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
75,62,53,57,94,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
21,69,60,12,35,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
20,51,11,8,56,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
43,28,32,28,59,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
42,9,43,23,73,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
27,68,72,12,57,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
99,36,15,97,99,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
33,100,74,12,72,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
44,75,7,36,42,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
60,26,38,49,86,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
12,73,35,12,21,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
26,4,67,49,6,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
71,93,48,64,77,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
78,57,23,75,78,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
53,17,10,28,93,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
95,1,69,93,83,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
100,55,34,93,100,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
98,10,76,91,98,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
