rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
91,193,124,78,93,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
214,77,224,219,191,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
202,160,184,219,140,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
157,141,177,180,72,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
186,73,187,205,136,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
212,153,225,221,169,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
110,165,216,132,67,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
134,202,148,132,120,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
50,104,149,49,47,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
91,193,124,78,93,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
28,31,11,78,5,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
162,138,145,132,176,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
187,142,214,188,164,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
113,94,162,107,108,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
220,139,203,224,192,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
108,92,175,158,26,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
57,59,9,107,10,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
134,135,165,132,120,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
91,191,129,78,93,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
176,206,202,132,196,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
29,66,84,61,9,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
190,184,46,170,200,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
174,85,98,158,183,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
150,209,215,107,175,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
147,170,209,132,156,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
190,220,205,170,200,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
147,214,181,132,156,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
91,196,128,78,93,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
134,109,8,132,120,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
133,185,166,158,70,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
176,60,178,132,196,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
205,76,171,210,189,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
91,75,174,78,93,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
