rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
519,497,498,514,503,"{'max_bin': 5, 'min_child_samples': 10}"
514,512,512,509,450,"{'max_bin': 5, 'min_child_samples': 20}"
455,511,482,486,188,"{'max_bin': 5, 'min_child_samples': 30}"
427,496,505,462,237,"{'max_bin': 5, 'min_child_samples': 40}"
488,504,503,492,386,"{'max_bin': 5, 'min_child_samples': 50}"
482,501,477,509,101,"{'max_bin': 5, 'min_child_samples': 60}"
484,460,502,494,323,"{'max_bin': 5, 'min_child_samples': 70}"
484,510,511,494,323,"{'max_bin': 5, 'min_child_samples': 80}"
513,518,514,512,412,"{'max_bin': 5, 'min_child_samples': 90}"
493,508,513,504,275,"{'max_bin': 5, 'min_child_samples': 100}"
375,513,493,405,295,"{'max_bin': 5, 'min_child_samples': 110}"
422,514,516,476,123,"{'max_bin': 5, 'min_child_samples': 120}"
516,493,515,514,418,"{'max_bin': 5, 'min_child_samples': 130}"
471,509,506,494,197,"{'max_bin': 5, 'min_child_samples': 140}"
495,515,508,512,165,"{'max_bin': 5, 'min_child_samples': 150}"
517,517,519,518,376,"{'max_bin': 5, 'min_child_samples': 160}"
475,516,517,504,97,"{'max_bin': 5, 'min_child_samples': 170}"
520,520,520,516,496,"{'max_bin': 5, 'min_child_samples': 180}"
512,519,510,520,117,"{'max_bin': 5, 'min_child_samples': 190}"
511,507,518,517,228,"{'max_bin': 5, 'min_child_samples': 200}"
221,260,382,235,211,"{'max_bin': 15, 'min_child_samples': 10}"
93,475,285,121,84,"{'max_bin': 15, 'min_child_samples': 20}"
142,490,164,99,251,"{'max_bin': 15, 'min_child_samples': 30}"
178,275,132,141,256,"{'max_bin': 15, 'min_child_samples': 40}"
310,187,75,322,286,"{'max_bin': 15, 'min_child_samples': 50}"
146,237,317,200,93,"{'max_bin': 15, 'min_child_samples': 60}"
208,420,84,168,266,"{'max_bin': 15, 'min_child_samples': 70}"
170,195,103,168,202,"{'max_bin': 15, 'min_child_samples': 80}"
310,84,160,322,286,"{'max_bin': 15, 'min_child_samples': 90}"
324,303,148,419,109,"{'max_bin': 15, 'min_child_samples': 100}"
242,456,324,269,216,"{'max_bin': 15, 'min_child_samples': 110}"
170,432,414,168,202,"{'max_bin': 15, 'min_child_samples': 120}"
39,473,22,43,38,"{'max_bin': 15, 'min_child_samples': 130}"
277,484,246,376,107,"{'max_bin': 15, 'min_child_samples': 140}"
370,397,261,419,229,"{'max_bin': 15, 'min_child_samples': 150}"
19,334,19,43,8,"{'max_bin': 15, 'min_child_samples': 160}"
436,440,411,419,427,"{'max_bin': 15, 'min_child_samples': 170}"
447,505,458,486,135,"{'max_bin': 15, 'min_child_samples': 180}"
449,487,489,450,377,"{'max_bin': 15, 'min_child_samples': 190}"
499,506,491,507,280,"{'max_bin': 15, 'min_child_samples': 200}"
352,146,239,269,445,"{'max_bin': 25, 'min_child_samples': 10}"
342,155,245,322,363,"{'max_bin': 25, 'min_child_samples': 20}"
292,83,53,322,221,"{'max_bin': 25, 'min_child_samples': 30}"
491,281,332,450,509,"{'max_bin': 25, 'min_child_samples': 40}"
214,173,65,293,102,"{'max_bin': 25, 'min_child_samples': 50}"
38,152,52,59,21,"{'max_bin': 25, 'min_child_samples': 60}"
205,20,99,200,209,"{'max_bin': 25, 'min_child_samples': 70}"
107,98,146,168,49,"{'max_bin': 25, 'min_child_samples': 80}"
112,320,30,141,87,"{'max_bin': 25, 'min_child_samples': 90}"
214,2,5,293,102,"{'max_bin': 25, 'min_child_samples': 100}"
77,249,356,79,129,"{'max_bin': 25, 'min_child_samples': 110}"
37,26,185,99,10,"{'max_bin': 25, 'min_child_samples': 120}"
352,262,218,269,445,"{'max_bin': 25, 'min_child_samples': 130}"
365,371,311,322,413,"{'max_bin': 25, 'min_child_samples': 140}"
385,464,390,376,371,"{'max_bin': 25, 'min_child_samples': 150}"
310,242,430,322,286,"{'max_bin': 25, 'min_child_samples': 160}"
72,386,417,141,25,"{'max_bin': 25, 'min_child_samples': 170}"
515,391,479,498,501,"{'max_bin': 25, 'min_child_samples': 180}"
444,140,481,462,309,"{'max_bin': 25, 'min_child_samples': 190}"
490,424,366,498,328,"{'max_bin': 25, 'min_child_samples': 200}"
128,38,211,200,54,"{'max_bin': 35, 'min_child_samples': 10}"
93,170,159,121,84,"{'max_bin': 35, 'min_child_samples': 20}"
413,24,89,450,234,"{'max_bin': 35, 'min_child_samples': 30}"
107,165,78,168,49,"{'max_bin': 35, 'min_child_samples': 40}"
107,122,8,168,49,"{'max_bin': 35, 'min_child_samples': 50}"
128,58,191,200,54,"{'max_bin': 35, 'min_child_samples': 60}"
359,312,209,235,472,"{'max_bin': 35, 'min_child_samples': 70}"
11,372,370,59,1,"{'max_bin': 35, 'min_child_samples': 80}"
96,102,92,99,136,"{'max_bin': 35, 'min_child_samples': 90}"
150,356,199,168,148,"{'max_bin': 35, 'min_child_samples': 100}"
163,211,20,269,57,"{'max_bin': 35, 'min_child_samples': 110}"
242,453,320,269,216,"{'max_bin': 35, 'min_child_samples': 120}"
22,251,61,79,3,"{'max_bin': 35, 'min_child_samples': 130}"
112,415,419,141,87,"{'max_bin': 35, 'min_child_samples': 140}"
188,231,291,121,321,"{'max_bin': 35, 'min_child_samples': 150}"
478,106,438,479,382,"{'max_bin': 35, 'min_child_samples': 160}"
249,407,398,376,62,"{'max_bin': 35, 'min_child_samples': 170}"
258,186,88,348,105,"{'max_bin': 35, 'min_child_samples': 180}"
295,212,474,438,32,"{'max_bin': 35, 'min_child_samples': 190}"
340,313,473,438,112,"{'max_bin': 35, 'min_child_samples': 200}"
221,266,328,235,211,"{'max_bin': 45, 'min_child_samples': 10}"
27,142,74,13,111,"{'max_bin': 45, 'min_child_samples': 20}"
9,406,24,19,6,"{'max_bin': 45, 'min_child_samples': 30}"
357,347,428,376,293,"{'max_bin': 45, 'min_child_samples': 40}"
466,293,286,462,435,"{'max_bin': 45, 'min_child_samples': 50}"
330,360,201,376,224,"{'max_bin': 45, 'min_child_samples': 60}"
333,205,177,450,71,"{'max_bin': 45, 'min_child_samples': 70}"
314,285,94,293,353,"{'max_bin': 45, 'min_child_samples': 80}"
297,288,336,293,283,"{'max_bin': 45, 'min_child_samples': 90}"
457,445,380,376,494,"{'max_bin': 45, 'min_child_samples': 100}"
60,160,237,79,79,"{'max_bin': 45, 'min_child_samples': 110}"
195,361,354,269,100,"{'max_bin': 45, 'min_child_samples': 120}"
436,382,338,419,427,"{'max_bin': 45, 'min_child_samples': 130}"
116,455,360,121,140,"{'max_bin': 45, 'min_child_samples': 140}"
370,224,221,419,229,"{'max_bin': 45, 'min_child_samples': 150}"
326,344,249,269,406,"{'max_bin': 45, 'min_child_samples': 160}"
466,492,494,462,435,"{'max_bin': 45, 'min_child_samples': 170}"
242,338,452,269,216,"{'max_bin': 45, 'min_child_samples': 180}"
207,500,466,376,17,"{'max_bin': 45, 'min_child_samples': 190}"
499,478,459,507,280,"{'max_bin': 45, 'min_child_samples': 200}"
