rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
148,108,57,109,202,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
176,220,144,181,90,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
203,181,202,201,178,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
208,190,219,208,128,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
224,69,222,223,200,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
213,77,151,216,51,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
223,33,161,218,223,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
190,27,180,201,49,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
172,176,204,181,48,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
148,111,59,109,202,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
83,59,48,89,41,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
123,186,133,109,113,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
56,60,79,49,59,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
28,170,140,15,133,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
200,40,189,189,196,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
180,87,126,156,216,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
107,133,131,109,43,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
204,165,191,189,221,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
148,111,59,109,202,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
71,182,81,67,38,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
189,93,179,167,219,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
69,143,118,49,100,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
91,49,34,89,76,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
22,99,46,49,18,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
93,85,76,109,22,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
91,201,182,89,76,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
138,159,112,139,117,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
148,111,59,109,202,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
12,198,190,9,55,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
8,168,129,9,32,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
67,138,95,67,19,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
20,95,85,15,57,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
8,162,125,9,32,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
145,166,66,156,86,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
71,158,70,67,38,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
18,103,39,15,35,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
183,36,78,167,191,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
148,111,59,109,202,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
148,106,55,109,202,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
148,108,58,109,202,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
148,111,59,109,202,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
85,83,29,67,161,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
148,107,56,109,202,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
183,35,77,167,191,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
