rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
13,66,4,2,72,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
3,3,1,1,59,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
22,9,2,8,74,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
16,58,3,5,73,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
11,5,12,5,66,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
41,23,19,24,68,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
57,53,7,17,90,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
66,35,14,32,88,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
27,32,5,10,75,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
60,54,10,24,87,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
8,24,11,2,63,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
42,34,15,21,76,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
11,4,6,5,66,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
37,16,8,15,84,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
1,65,18,2,26,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
45,22,13,24,77,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
28,48,24,21,53,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
15,17,21,10,51,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
47,1,23,21,85,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
72,70,29,57,82,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
6,68,22,10,29,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
20,19,16,17,41,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
58,8,9,39,79,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
54,63,20,32,78,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
7,12,25,8,38,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
10,62,30,10,40,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
21,29,17,15,52,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
34,81,26,32,42,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
5,14,27,10,17,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
52,45,31,39,69,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
52,7,28,39,69,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
64,10,33,52,71,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
87,38,36,67,86,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
25,25,32,24,30,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
74,31,46,49,89,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
69,18,37,52,81,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
34,71,41,32,42,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
25,41,35,24,30,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
34,57,39,32,42,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
24,56,45,32,21,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
31,27,43,39,32,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
9,46,34,24,7,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
40,52,42,32,54,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
58,55,40,39,79,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
31,33,38,39,32,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
61,82,60,62,49,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
81,2,49,67,83,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
67,85,56,62,57,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
2,51,48,17,2,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
39,89,61,39,45,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
62,40,52,57,56,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
75,44,47,67,58,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
49,84,58,52,46,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
44,39,44,39,55,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
49,77,63,52,46,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
14,49,55,24,14,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
82,69,64,75,60,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
17,13,57,49,3,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
