rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
24,131,87,23,33,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,134,{'max_depth': 11}
139,139,139,139,19,{'max_depth': 12}
138,138,138,138,46,{'max_depth': 13}
137,137,137,137,6,{'max_depth': 14}
136,136,136,136,3,{'max_depth': 15}
135,135,135,135,4,{'max_depth': 16}
134,134,134,134,2,{'max_depth': 17}
80,133,132,133,1,{'max_depth': 18}
111,132,131,131,5,{'max_depth': 19}
133,127,133,132,27,{'max_depth': 20}
112,128,130,130,10,{'max_depth': 21}
46,124,129,129,7,{'max_depth': 22}
84,40,124,126,16,{'max_depth': 23}
84,116,128,126,16,{'max_depth': 24}
100,121,123,126,27,{'max_depth': 25}
92,105,127,119,64,{'max_depth': 26}
37,94,111,81,26,{'max_depth': 27}
126,110,117,125,117,{'max_depth': 28}
112,43,59,114,113,{'max_depth': 29}
75,56,58,81,85,{'max_depth': 30}
42,113,107,63,41,{'max_depth': 31}
123,120,112,123,116,{'max_depth': 32}
92,48,44,119,64,{'max_depth': 33}
29,130,52,13,51,{'max_depth': 34}
24,106,115,23,33,{'max_depth': 35}
52,32,23,63,61,{'max_depth': 36}
103,50,81,95,110,{'max_depth': 37}
9,1,33,13,21,{'max_depth': 38}
96,13,73,81,107,{'max_depth': 39}
127,97,29,95,136,{'max_depth': 40}
14,86,24,23,24,{'max_depth': 41}
65,93,70,63,79,{'max_depth': 42}
61,31,71,54,76,{'max_depth': 43}
21,53,48,7,48,{'max_depth': 44}
52,123,101,63,61,{'max_depth': 45}
101,19,54,114,96,{'max_depth': 46}
75,71,31,81,85,{'max_depth': 47}
3,3,11,3,11,{'max_depth': 48}
21,23,1,7,48,{'max_depth': 49}
120,22,99,95,130,{'max_depth': 50}
33,37,64,36,38,{'max_depth': 51}
16,95,3,3,47,{'max_depth': 52}
125,41,2,81,135,{'max_depth': 53}
107,25,74,81,121,{'max_depth': 54}
42,30,85,63,41,{'max_depth': 55}
90,112,105,63,105,{'max_depth': 56}
42,57,55,63,41,{'max_depth': 57}
86,74,45,95,90,{'max_depth': 58}
55,103,82,36,70,{'max_depth': 59}
24,70,89,23,33,{'max_depth': 60}
12,29,12,7,30,{'max_depth': 61}
65,46,41,63,79,{'max_depth': 62}
65,33,80,63,79,{'max_depth': 63}
81,87,19,54,103,{'max_depth': 64}
55,67,91,36,70,{'max_depth': 65}
128,62,95,123,127,{'max_depth': 66}
29,47,43,13,51,{'max_depth': 67}
110,9,4,54,128,{'max_depth': 68}
129,68,86,108,137,{'max_depth': 69}
55,108,61,36,70,{'max_depth': 70}
55,107,116,36,70,{'max_depth': 71}
29,111,98,13,51,{'max_depth': 72}
24,35,37,23,33,{'max_depth': 73}
36,63,27,23,55,{'max_depth': 74}
120,55,113,95,130,{'max_depth': 75}
