rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,33,34,34,34,{'n_estimators': 10}
31,34,33,32,30,{'n_estimators': 20}
30,31,32,29,33,{'n_estimators': 30}
33,32,30,33,29,{'n_estimators': 40}
27,25,26,27,26,{'n_estimators': 50}
27,28,29,27,26,{'n_estimators': 60}
32,20,28,31,32,{'n_estimators': 70}
26,30,31,24,25,{'n_estimators': 80}
5,8,4,1,6,{'n_estimators': 90}
16,24,24,3,23,{'n_estimators': 100}
23,18,2,15,24,{'n_estimators': 110}
11,29,27,3,16,{'n_estimators': 120}
12,26,15,15,10,{'n_estimators': 130}
25,6,16,24,22,{'n_estimators': 140}
3,22,25,9,3,{'n_estimators': 150}
1,9,1,3,1,{'n_estimators': 160}
12,16,22,15,10,{'n_estimators': 170}
4,27,18,3,4,{'n_estimators': 180}
15,23,23,9,17,{'n_estimators': 190}
19,17,20,24,14,{'n_estimators': 200}
7,10,12,1,15,{'n_estimators': 210}
29,5,13,29,28,{'n_estimators': 220}
24,3,7,3,31,{'n_estimators': 230}
20,2,8,20,19,{'n_estimators': 240}
12,14,17,15,10,{'n_estimators': 250}
20,11,21,20,19,{'n_estimators': 260}
8,19,10,9,7,{'n_estimators': 270}
6,1,5,9,5,{'n_estimators': 280}
1,4,6,3,1,{'n_estimators': 290}
17,21,19,20,13,{'n_estimators': 300}
18,13,3,15,18,{'n_estimators': 310}
8,15,14,9,7,{'n_estimators': 320}
8,12,11,9,7,{'n_estimators': 330}
20,7,9,20,19,{'n_estimators': 340}
