rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,29,33,33,30,{'n_estimators': 20}
14,33,32,27,3,{'n_estimators': 30}
32,32,31,31,33,{'n_estimators': 40}
31,25,30,32,24,{'n_estimators': 50}
25,12,24,23,21,{'n_estimators': 60}
7,26,25,1,25,{'n_estimators': 70}
21,24,26,19,19,{'n_estimators': 80}
16,21,28,13,16,{'n_estimators': 90}
19,30,27,5,31,{'n_estimators': 100}
5,31,23,5,8,{'n_estimators': 110}
15,19,18,19,11,{'n_estimators': 120}
3,28,29,5,5,{'n_estimators': 130}
30,23,21,30,32,{'n_estimators': 140}
23,15,22,13,26,{'n_estimators': 150}
29,2,11,27,29,{'n_estimators': 160}
1,16,3,1,1,{'n_estimators': 170}
8,3,1,19,2,{'n_estimators': 180}
10,6,14,11,10,{'n_estimators': 190}
28,27,19,23,28,{'n_estimators': 200}
21,10,9,19,19,{'n_estimators': 210}
20,5,7,23,12,{'n_estimators': 220}
23,7,12,13,26,{'n_estimators': 230}
13,22,15,11,15,{'n_estimators': 240}
16,13,10,13,16,{'n_estimators': 250}
11,14,20,5,13,{'n_estimators': 260}
27,9,8,27,23,{'n_estimators': 270}
16,11,16,13,16,{'n_estimators': 280}
5,20,5,5,8,{'n_estimators': 290}
11,17,17,5,13,{'n_estimators': 300}
25,8,6,23,21,{'n_estimators': 310}
2,18,13,3,4,{'n_estimators': 320}
4,1,2,3,7,{'n_estimators': 330}
9,4,4,13,6,{'n_estimators': 340}
