rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
29,33,33,25,31,{'n_estimators': 20}
20,32,32,7,30,{'n_estimators': 30}
25,26,31,25,15,{'n_estimators': 40}
32,23,27,25,33,{'n_estimators': 50}
7,16,28,7,5,{'n_estimators': 60}
15,24,16,7,17,{'n_estimators': 70}
9,30,15,7,8,{'n_estimators': 80}
5,29,25,4,27,{'n_estimators': 90}
26,21,14,25,24,{'n_estimators': 100}
1,20,18,1,2,{'n_estimators': 110}
9,19,29,7,8,{'n_estimators': 120}
33,18,26,32,29,{'n_estimators': 130}
29,31,30,25,31,{'n_estimators': 140}
21,6,5,19,20,{'n_estimators': 150}
9,12,19,7,8,{'n_estimators': 160}
31,9,4,32,26,{'n_estimators': 170}
15,4,6,7,17,{'n_estimators': 180}
21,22,17,19,20,{'n_estimators': 190}
3,13,8,3,4,{'n_estimators': 200}
21,10,12,19,20,{'n_estimators': 210}
1,27,23,1,2,{'n_estimators': 220}
15,5,1,7,17,{'n_estimators': 230}
26,7,7,25,24,{'n_estimators': 240}
18,11,22,19,7,{'n_estimators': 250}
9,25,20,7,8,{'n_estimators': 260}
28,17,13,25,28,{'n_estimators': 270}
6,28,24,6,16,{'n_estimators': 280}
9,2,9,7,8,{'n_estimators': 290}
9,1,3,7,8,{'n_estimators': 300}
7,3,11,7,5,{'n_estimators': 310}
19,14,10,19,14,{'n_estimators': 320}
21,15,21,19,20,{'n_estimators': 330}
4,8,2,4,1,{'n_estimators': 340}
