rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
607,652,690,716,506,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
685,651,693,780,546,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
719,659,697,779,593,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
680,701,720,765,547,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
684,719,744,769,553,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
655,726,774,758,528,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
605,716,749,748,486,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
570,711,740,722,441,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
567,681,767,719,431,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
554,679,698,713,427,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
595,672,780,678,508,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
626,742,785,663,558,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
530,633,784,530,571,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
557,560,779,606,627,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
501,751,536,529,445,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
724,762,523,616,682,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
725,570,527,649,660,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
849,449,474,209,784,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
184,208,258,231,400,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
166,123,149,95,475,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
198,163,115,102,669,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
247,192,124,134,713,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
247,290,185,134,713,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
814,456,217,172,749,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
839,782,289,198,774,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
713,649,692,781,558,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
677,657,696,778,540,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
680,679,713,765,547,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
696,716,741,770,556,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
660,728,759,759,532,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
613,721,772,749,493,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
593,700,748,740,464,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
570,715,743,722,441,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
567,681,767,719,431,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
740,733,714,624,704,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
477,746,783,470,422,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
720,619,782,614,680,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
733,542,778,620,699,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
537,528,560,600,550,"{'C': 0.001953125, 'gamma': 8.0, 'kernel': 'rbf'}"
515,531,508,553,504,"{'C': 0.001953125, 'gamma': 16.0, 'kernel': 'rbf'}"
479,552,502,526,410,"{'C': 0.001953125, 'gamma': 32.0, 'kernel': 'rbf'}"
532,568,526,601,509,"{'C': 0.001953125, 'gamma': 64.0, 'kernel': 'rbf'}"
849,420,480,209,784,"{'C': 0.001953125, 'gamma': 128.0, 'kernel': 'rbf'}"
184,209,257,231,400,"{'C': 0.001953125, 'gamma': 256.0, 'kernel': 'rbf'}"
166,123,143,95,475,"{'C': 0.001953125, 'gamma': 512.0, 'kernel': 'rbf'}"
198,159,114,102,669,"{'C': 0.001953125, 'gamma': 1024.0, 'kernel': 'rbf'}"
247,195,127,134,713,"{'C': 0.001953125, 'gamma': 2048.0, 'kernel': 'rbf'}"
518,292,184,170,748,"{'C': 0.001953125, 'gamma': 4096.0, 'kernel': 'rbf'}"
814,459,219,172,749,"{'C': 0.001953125, 'gamma': 8192.0, 'kernel': 'rbf'}"
839,782,289,198,774,"{'C': 0.001953125, 'gamma': 16384.0, 'kernel': 'rbf'}"
672,653,695,777,537,"{'C': 0.00390625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
682,695,711,767,550,"{'C': 0.00390625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
699,725,751,772,561,"{'C': 0.00390625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
666,730,769,762,540,"{'C': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
624,697,745,751,512,"{'C': 0.00390625, 'gamma': 0.015625, 'kernel': 'rbf'}"
597,697,753,742,467,"{'C': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
