rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
691,805,737,678,669,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
691,796,723,678,669,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
691,781,715,678,669,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
691,789,700,678,669,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
691,767,694,678,669,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
691,762,732,678,669,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
744,748,690,731,725,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
753,745,621,737,732,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
761,735,595,744,737,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
744,669,609,731,725,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
752,643,594,747,724,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
750,622,810,752,669,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
650,605,814,677,563,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
648,589,811,642,566,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
524,569,576,562,533,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
493,549,545,676,474,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
428,510,501,568,360,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
275,340,362,329,224,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
304,228,264,757,213,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
767,165,136,785,625,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
790,70,77,800,800,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
114,155,105,83,180,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
781,207,166,791,791,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
797,289,216,807,807,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
841,495,281,184,781,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
691,805,737,678,669,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
691,796,723,678,669,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
691,781,715,678,669,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
691,789,700,678,669,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
691,767,694,678,669,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
