rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
573,644,827,734,582,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
741,647,823,606,721,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
588,650,816,711,590,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
552,628,757,632,565,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
645,734,847,720,651,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
565,629,815,730,572,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
709,663,831,677,717,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
689,642,764,664,694,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
704,623,760,672,707,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
696,616,756,670,702,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
750,608,731,632,761,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
757,593,654,604,773,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
837,589,627,601,787,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
843,574,520,602,849,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
759,555,515,599,774,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
550,535,496,600,558,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
509,513,514,337,513,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
781,465,336,796,793,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
193,257,265,231,261,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
148,171,158,116,238,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
152,147,110,120,248,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
199,177,137,152,372,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
215,234,175,161,387,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
199,305,223,152,372,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
316,357,260,204,495,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
573,644,827,734,582,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
741,647,823,606,721,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
580,716,841,740,589,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
595,629,826,713,602,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
595,631,832,713,602,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
617,632,814,717,610,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
684,653,809,659,685,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
709,622,804,677,717,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
693,617,748,667,696,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
693,614,755,667,696,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
750,607,730,632,761,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
763,594,655,603,778,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
546,588,572,587,546,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
593,570,521,529,574,"{'C': 0.001953125, 'gamma': 8.0, 'kernel': 'rbf'}"
542,550,519,576,543,"{'C': 0.001953125, 'gamma': 16.0, 'kernel': 'rbf'}"
527,534,495,572,527,"{'C': 0.001953125, 'gamma': 32.0, 'kernel': 'rbf'}"
485,511,481,578,460,"{'C': 0.001953125, 'gamma': 64.0, 'kernel': 'rbf'}"
431,464,335,282,445,"{'C': 0.001953125, 'gamma': 128.0, 'kernel': 'rbf'}"
195,258,269,231,266,"{'C': 0.001953125, 'gamma': 256.0, 'kernel': 'rbf'}"
151,166,156,119,240,"{'C': 0.001953125, 'gamma': 512.0, 'kernel': 'rbf'}"
152,141,104,120,248,"{'C': 0.001953125, 'gamma': 1024.0, 'kernel': 'rbf'}"
199,201,142,152,372,"{'C': 0.001953125, 'gamma': 2048.0, 'kernel': 'rbf'}"
233,239,181,171,408,"{'C': 0.001953125, 'gamma': 4096.0, 'kernel': 'rbf'}"
277,303,221,195,453,"{'C': 0.001953125, 'gamma': 8192.0, 'kernel': 'rbf'}"
764,339,248,221,550,"{'C': 0.001953125, 'gamma': 16384.0, 'kernel': 'rbf'}"
573,644,827,734,582,"{'C': 0.00390625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
566,626,803,667,572,"{'C': 0.00390625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
572,637,825,672,578,"{'C': 0.00390625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
562,633,836,729,570,"{'C': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
743,698,837,710,752,"{'C': 0.00390625, 'gamma': 0.015625, 'kernel': 'rbf'}"
684,735,787,659,685,"{'C': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
684,650,795,659,685,"{'C': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
