rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
706,725,598,696,722,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
731,738,596,701,744,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
700,735,605,765,709,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
644,660,600,711,649,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
700,734,644,765,709,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
644,654,570,711,649,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
672,693,578,728,679,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
661,662,584,721,668,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
688,647,595,707,695,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
704,646,569,703,712,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
730,584,566,700,743,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
650,568,504,693,648,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
716,557,508,695,725,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
745,539,777,688,746,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
578,525,778,686,569,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
507,502,773,687,481,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
482,472,526,694,426,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
850,355,347,221,777,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
751,779,779,778,777,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
165,131,160,137,302,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
179,117,88,144,343,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
194,170,73,158,363,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
237,211,174,183,422,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
290,272,214,209,470,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
290,349,257,209,470,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
706,725,598,696,722,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
636,741,597,771,640,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
718,699,635,710,742,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
661,678,621,721,668,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
640,684,618,760,644,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
654,666,571,715,659,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
657,668,577,717,664,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
667,669,586,723,670,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
691,648,593,708,699,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
702,645,568,702,708,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
568,589,567,683,566,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
607,560,521,704,606,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
499,545,744,363,505,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
497,535,776,356,504,"{'C': 0.001953125, 'gamma': 8.0, 'kernel': 'rbf'}"
462,516,775,497,428,"{'C': 0.001953125, 'gamma': 16.0, 'kernel': 'rbf'}"
453,495,767,481,408,"{'C': 0.001953125, 'gamma': 32.0, 'kernel': 'rbf'}"
743,473,527,774,750,"{'C': 0.001953125, 'gamma': 64.0, 'kernel': 'rbf'}"
342,356,345,267,420,"{'C': 0.001953125, 'gamma': 128.0, 'kernel': 'rbf'}"
751,778,343,778,777,"{'C': 0.001953125, 'gamma': 256.0, 'kernel': 'rbf'}"
165,132,161,137,302,"{'C': 0.001953125, 'gamma': 512.0, 'kernel': 'rbf'}"
179,123,90,144,343,"{'C': 0.001953125, 'gamma': 1024.0, 'kernel': 'rbf'}"
179,169,66,144,343,"{'C': 0.001953125, 'gamma': 2048.0, 'kernel': 'rbf'}"
227,204,169,174,412,"{'C': 0.001953125, 'gamma': 4096.0, 'kernel': 'rbf'}"
251,262,205,185,430,"{'C': 0.001953125, 'gamma': 8192.0, 'kernel': 'rbf'}"
378,333,248,218,515,"{'C': 0.001953125, 'gamma': 16384.0, 'kernel': 'rbf'}"
741,746,652,773,748,"{'C': 0.00390625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
715,712,642,706,738,"{'C': 0.00390625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
642,685,609,762,646,"{'C': 0.00390625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
652,665,616,714,658,"{'C': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
672,708,591,728,679,"{'C': 0.00390625, 'gamma': 0.015625, 'kernel': 'rbf'}"
657,670,572,717,664,"{'C': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
667,675,579,723,670,"{'C': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
657,655,582,717,664,"{'C': 0.00390625, 'gamma': 0.125, 'kernel': 'rbf'}"
691,648,593,708,699,"{'C': 0.00390625, 'gamma': 0.25, 'kernel': 'rbf'}"
825,694,735,288,741,"{'C': 0.00390625, 'gamma': 0.5, 'kernel': 'rbf'}"
746,583,522,385,739,"{'C': 0.00390625, 'gamma': 1.0, 'kernel': 'rbf'}"
592,558,554,581,596,"{'C': 0.00390625, 'gamma': 2.0, 'kernel': 'rbf'}"
534,538,770,550,534,"{'C': 0.00390625, 'gamma': 4.0, 'kernel': 'rbf'}"
483,518,774,523,474,"{'C': 0.00390625, 'gamma': 8.0, 'kernel': 'rbf'}"
458,494,768,510,423,"{'C': 0.00390625, 'gamma': 16.0, 'kernel': 'rbf'}"
441,478,565,488,380,"{'C': 0.00390625, 'gamma': 32.0, 'kernel': 'rbf'}"
436,461,503,392,377,"{'C': 0.00390625, 'gamma': 64.0, 'kernel': 'rbf'}"
342,357,346,267,420,"{'C': 0.00390625, 'gamma': 128.0, 'kernel': 'rbf'}"
206,224,263,224,366,"{'C': 0.00390625, 'gamma': 256.0, 'kernel': 'rbf'}"
165,130,159,137,302,"{'C': 0.00390625, 'gamma': 512.0, 'kernel': 'rbf'}"
179,121,93,144,343,"{'C': 0.00390625, 'gamma': 1024.0, 'kernel': 'rbf'}"
179,176,69,144,343,"{'C': 0.00390625, 'gamma': 2048.0, 'kernel': 'rbf'}"
227,206,167,174,412,"{'C': 0.00390625, 'gamma': 4096.0, 'kernel': 'rbf'}"
276,264,206,201,453,"{'C': 0.00390625, 'gamma': 8192.0, 'kernel': 'rbf'}"
378,350,254,218,515,"{'C': 0.00390625, 'gamma': 16384.0, 'kernel': 'rbf'}"
656,721,612,764,663,"{'C': 0.0078125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
640,682,603,760,644,"{'C': 0.0078125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
648,664,607,713,656,"{'C': 0.0078125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
629,672,606,752,635,"{'C': 0.0078125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
672,709,587,728,679,"{'C': 0.0078125, 'gamma': 0.015625, 'kernel': 'rbf'}"
672,690,573,728,679,"{'C': 0.0078125, 'gamma': 0.03125, 'kernel': 'rbf'}"
672,688,581,728,679,"{'C': 0.0078125, 'gamma': 0.0625, 'kernel': 'rbf'}"
657,656,583,717,664,"{'C': 0.0078125, 'gamma': 0.125, 'kernel': 'rbf'}"
719,623,670,691,736,"{'C': 0.0078125, 'gamma': 0.25, 'kernel': 'rbf'}"
841,650,751,306,759,"{'C': 0.0078125, 'gamma': 0.5, 'kernel': 'rbf'}"
