rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
610,622,536,528,604,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
617,615,517,535,611,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
603,620,615,539,584,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
547,619,521,527,544,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
601,611,540,546,583,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
620,614,607,526,615,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
600,591,562,614,578,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
551,598,566,570,530,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
546,551,535,566,525,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
538,552,528,560,516,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
537,535,523,545,519,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
523,531,513,533,499,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
521,527,501,523,496,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
518,523,497,521,486,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
519,519,483,520,495,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
457,490,474,386,443,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
408,456,356,342,414,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
273,337,299,277,285,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
149,231,229,167,197,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
138,125,158,112,206,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
158,132,87,129,235,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
186,183,127,154,305,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
203,217,168,167,342,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
296,262,211,215,545,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
625,340,264,241,624,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
610,622,536,528,604,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
617,615,517,535,611,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
603,620,615,539,584,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
594,606,526,543,577,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
616,618,606,525,610,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
558,562,556,577,537,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
562,562,551,581,541,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
536,558,549,559,515,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
543,548,534,563,520,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
538,541,533,560,516,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
541,537,524,546,523,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
524,532,514,535,500,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
522,526,500,524,498,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
608,520,496,620,573,"{'C': 0.001953125, 'gamma': 8.0, 'kernel': 'rbf'}"
520,509,481,522,494,"{'C': 0.001953125, 'gamma': 16.0, 'kernel': 'rbf'}"
473,496,466,352,476,"{'C': 0.001953125, 'gamma': 32.0, 'kernel': 'rbf'}"
408,457,357,342,414,"{'C': 0.001953125, 'gamma': 64.0, 'kernel': 'rbf'}"
274,334,300,278,286,"{'C': 0.001953125, 'gamma': 128.0, 'kernel': 'rbf'}"
149,230,231,167,197,"{'C': 0.001953125, 'gamma': 256.0, 'kernel': 'rbf'}"
138,129,159,112,206,"{'C': 0.001953125, 'gamma': 512.0, 'kernel': 'rbf'}"
158,139,86,129,235,"{'C': 0.001953125, 'gamma': 1024.0, 'kernel': 'rbf'}"
194,186,108,161,315,"{'C': 0.001953125, 'gamma': 2048.0, 'kernel': 'rbf'}"
214,219,166,181,363,"{'C': 0.001953125, 'gamma': 4096.0, 'kernel': 'rbf'}"
281,277,221,214,501,"{'C': 0.001953125, 'gamma': 8192.0, 'kernel': 'rbf'}"
602,348,269,238,623,"{'C': 0.001953125, 'gamma': 16384.0, 'kernel': 'rbf'}"
610,622,536,528,604,"{'C': 0.00390625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
617,615,517,535,611,"{'C': 0.00390625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
562,607,604,581,541,"{'C': 0.00390625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
615,612,605,534,609,"{'C': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
584,600,596,602,564,"{'C': 0.00390625, 'gamma': 0.015625, 'kernel': 'rbf'}"
531,538,550,554,510,"{'C': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
565,569,564,584,546,"{'C': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
543,559,546,563,520,"{'C': 0.00390625, 'gamma': 0.125, 'kernel': 'rbf'}"
543,549,532,563,520,"{'C': 0.00390625, 'gamma': 0.25, 'kernel': 'rbf'}"
531,538,531,554,510,"{'C': 0.00390625, 'gamma': 0.5, 'kernel': 'rbf'}"
541,534,522,546,523,"{'C': 0.00390625, 'gamma': 1.0, 'kernel': 'rbf'}"
517,522,515,451,497,"{'C': 0.00390625, 'gamma': 2.0, 'kernel': 'rbf'}"
525,505,499,617,502,"{'C': 0.00390625, 'gamma': 4.0, 'kernel': 'rbf'}"
495,504,480,498,467,"{'C': 0.00390625, 'gamma': 8.0, 'kernel': 'rbf'}"
461,487,461,453,437,"{'C': 0.00390625, 'gamma': 16.0, 'kernel': 'rbf'}"
438,473,449,436,413,"{'C': 0.00390625, 'gamma': 32.0, 'kernel': 'rbf'}"
