rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
2,1,3,2,5,"{'reg_alpha': 0, 'reg_lambda': 0}"
15,28,74,30,6,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
1,69,42,1,12,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
59,53,45,66,35,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
46,8,48,50,33,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
48,66,27,30,72,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
24,5,17,10,51,"{'reg_alpha': 0, 'reg_lambda': 1}"
3,68,37,2,14,"{'reg_alpha': 0, 'reg_lambda': 2}"
25,26,8,13,42,"{'reg_alpha': 0, 'reg_lambda': 3}"
4,54,31,6,8,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
10,61,65,8,40,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
16,51,79,13,25,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
40,79,70,37,46,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
38,49,52,23,62,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
48,67,61,30,72,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
20,32,5,23,18,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
72,21,63,70,60,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
31,42,32,30,20,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
28,27,34,23,29,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
57,16,24,43,74,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
42,41,21,53,10,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
39,36,30,30,53,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
53,15,18,43,64,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
13,7,4,13,16,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
13,37,15,13,16,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
7,22,56,2,38,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
25,31,51,13,42,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
53,73,78,43,64,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
16,29,26,13,25,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
64,2,2,50,77,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
37,46,38,43,22,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
78,39,22,72,79,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
5,81,60,10,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
6,56,62,6,15,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
16,6,13,13,25,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
66,24,29,60,67,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
60,62,55,43,76,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
68,13,66,70,50,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
16,75,59,13,25,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
51,65,77,53,34,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
62,34,6,60,57,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
61,11,19,53,66,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
12,9,1,10,24,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
65,30,33,53,75,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
50,14,9,37,63,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
34,12,7,37,21,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
28,55,40,23,29,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
32,47,23,13,52,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
70,59,50,66,68,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
10,60,28,8,40,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
7,50,20,2,38,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
33,19,58,23,45,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
80,10,54,74,80,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
20,63,11,23,18,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
28,4,14,23,29,"{'reg_alpha': 1, 'reg_lambda': 0}"
62,48,10,60,57,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
55,80,41,50,55,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
25,3,47,13,42,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
44,20,12,37,54,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
45,23,36,43,48,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
76,74,81,74,70,"{'reg_alpha': 1, 'reg_lambda': 1}"
40,64,16,37,46,"{'reg_alpha': 1, 'reg_lambda': 2}"
70,71,72,66,68,"{'reg_alpha': 1, 'reg_lambda': 3}"
22,57,46,30,9,"{'reg_alpha': 2, 'reg_lambda': 0}"
67,76,76,66,59,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
69,38,69,72,36,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
35,40,64,53,4,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
47,72,73,60,11,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
56,18,44,53,49,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
76,78,75,74,70,"{'reg_alpha': 2, 'reg_lambda': 1}"
9,52,35,30,2,"{'reg_alpha': 2, 'reg_lambda': 2}"
81,35,71,80,81,"{'reg_alpha': 2, 'reg_lambda': 3}"
36,70,25,37,32,"{'reg_alpha': 3, 'reg_lambda': 0}"
73,45,68,74,37,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
58,43,43,53,56,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
79,44,57,79,78,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
52,33,67,60,23,"{'reg_alpha': 3, 'reg_lambda': 0.1}"
43,77,49,60,7,"{'reg_alpha': 3, 'reg_lambda': 0.5}"
75,58,80,74,61,"{'reg_alpha': 3, 'reg_lambda': 1}"
74,25,53,80,13,"{'reg_alpha': 3, 'reg_lambda': 2}"
23,17,39,43,3,"{'reg_alpha': 3, 'reg_lambda': 3}"
