rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
6,7,6,7,4,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
3,1,16,6,3,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
15,13,14,14,15,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
14,8,3,12,14,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
1,14,4,2,1,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
11,11,15,9,12,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
4,6,11,2,7,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
6,9,12,7,4,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
9,15,7,10,6,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
16,12,10,16,16,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
12,2,1,12,13,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
2,10,8,1,2,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
4,16,13,2,7,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
10,4,9,10,10,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
8,5,2,2,9,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
13,3,5,14,11,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
