rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
50,49,51,50,13,"{'max_depth': 3, 'min_child_weight': 1}"
52,52,50,52,25,"{'max_depth': 3, 'min_child_weight': 2}"
49,50,52,49,14,"{'max_depth': 3, 'min_child_weight': 3}"
53,54,53,53,32,"{'max_depth': 3, 'min_child_weight': 4}"
51,53,49,51,11,"{'max_depth': 3, 'min_child_weight': 5}"
54,51,54,54,21,"{'max_depth': 3, 'min_child_weight': 6}"
46,47,44,44,7,"{'max_depth': 4, 'min_child_weight': 1}"
47,46,48,47,3,"{'max_depth': 4, 'min_child_weight': 2}"
44,45,46,44,2,"{'max_depth': 4, 'min_child_weight': 3}"
43,42,43,46,1,"{'max_depth': 4, 'min_child_weight': 4}"
48,38,45,48,9,"{'max_depth': 4, 'min_child_weight': 5}"
45,48,47,43,6,"{'max_depth': 4, 'min_child_weight': 6}"
33,16,37,37,4,"{'max_depth': 5, 'min_child_weight': 1}"
40,14,38,40,12,"{'max_depth': 5, 'min_child_weight': 2}"
39,13,40,38,20,"{'max_depth': 5, 'min_child_weight': 3}"
42,43,41,42,15,"{'max_depth': 5, 'min_child_weight': 4}"
41,32,42,41,8,"{'max_depth': 5, 'min_child_weight': 5}"
37,40,39,38,5,"{'max_depth': 5, 'min_child_weight': 6}"
13,18,31,23,19,"{'max_depth': 6, 'min_child_weight': 1}"
21,29,32,24,30,"{'max_depth': 6, 'min_child_weight': 2}"
18,27,33,31,10,"{'max_depth': 6, 'min_child_weight': 3}"
38,25,34,34,41,"{'max_depth': 6, 'min_child_weight': 4}"
34,41,35,34,23,"{'max_depth': 6, 'min_child_weight': 5}"
35,33,36,36,17,"{'max_depth': 6, 'min_child_weight': 6}"
6,19,23,5,26,"{'max_depth': 7, 'min_child_weight': 1}"
27,20,16,25,44,"{'max_depth': 7, 'min_child_weight': 2}"
30,39,29,27,45,"{'max_depth': 7, 'min_child_weight': 3}"
24,5,25,27,31,"{'max_depth': 7, 'min_child_weight': 4}"
5,9,30,9,18,"{'max_depth': 7, 'min_child_weight': 5}"
36,21,27,31,51,"{'max_depth': 7, 'min_child_weight': 6}"
7,28,5,6,27,"{'max_depth': 8, 'min_child_weight': 1}"
7,12,19,6,27,"{'max_depth': 8, 'min_child_weight': 2}"
2,2,4,3,16,"{'max_depth': 8, 'min_child_weight': 3}"
14,1,7,15,36,"{'max_depth': 8, 'min_child_weight': 4}"
11,30,12,12,29,"{'max_depth': 8, 'min_child_weight': 5}"
3,22,22,3,23,"{'max_depth': 8, 'min_child_weight': 6}"
9,6,2,9,34,"{'max_depth': 9, 'min_child_weight': 1}"
9,23,10,9,34,"{'max_depth': 9, 'min_child_weight': 2}"
16,37,8,12,47,"{'max_depth': 9, 'min_child_weight': 3}"
28,4,15,27,40,"{'max_depth': 9, 'min_child_weight': 4}"
31,44,26,31,37,"{'max_depth': 9, 'min_child_weight': 5}"
17,7,14,17,38,"{'max_depth': 9, 'min_child_weight': 6}"
26,35,11,20,53,"{'max_depth': 10, 'min_child_weight': 1}"
19,15,3,17,43,"{'max_depth': 10, 'min_child_weight': 2}"
1,24,1,1,22,"{'max_depth': 10, 'min_child_weight': 3}"
23,31,21,20,48,"{'max_depth': 10, 'min_child_weight': 4}"
4,10,17,2,33,"{'max_depth': 10, 'min_child_weight': 5}"
12,26,24,6,46,"{'max_depth': 10, 'min_child_weight': 6}"
25,17,9,17,54,"{'max_depth': 12, 'min_child_weight': 1}"
15,11,13,12,42,"{'max_depth': 12, 'min_child_weight': 2}"
22,34,20,15,52,"{'max_depth': 12, 'min_child_weight': 3}"
32,3,6,27,50,"{'max_depth': 12, 'min_child_weight': 4}"
29,36,28,25,49,"{'max_depth': 12, 'min_child_weight': 5}"
20,8,18,20,39,"{'max_depth': 12, 'min_child_weight': 6}"
