rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
39,70,60,22,66,"{'reg_alpha': 0, 'reg_lambda': 0}"
21,71,69,18,29,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
37,50,50,44,33,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
35,38,77,58,18,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
5,54,16,3,6,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
8,76,34,10,4,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
51,8,62,44,56,"{'reg_alpha': 0, 'reg_lambda': 1}"
64,3,13,50,69,"{'reg_alpha': 0, 'reg_lambda': 2}"
54,10,17,27,74,"{'reg_alpha': 0, 'reg_lambda': 3}"
74,26,80,72,61,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
45,81,81,34,51,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
73,72,59,65,72,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
29,40,36,22,41,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
45,53,40,34,51,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
19,75,53,10,39,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
71,80,78,76,38,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
31,74,71,50,17,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
13,51,14,14,14,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
80,78,70,76,79,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
14,66,29,10,22,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
1,68,12,2,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
74,30,7,72,61,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
66,79,73,34,81,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
45,55,49,34,51,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
12,49,32,10,13,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
26,69,41,34,25,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
32,58,38,34,32,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
81,17,75,81,80,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
11,37,25,14,8,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
40,34,43,65,20,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
43,63,76,50,35,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
55,67,54,58,44,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
45,73,57,34,51,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
51,35,10,44,56,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
42,65,64,58,27,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
64,46,58,50,69,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
79,61,72,80,73,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
58,60,67,50,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
23,11,37,27,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
76,77,79,65,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
22,47,35,9,64,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
7,59,56,3,11,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
51,16,63,44,56,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
34,27,19,18,65,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
15,5,4,5,50,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
26,9,11,34,25,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
50,52,51,27,67,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
18,39,46,18,23,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
69,33,45,58,71,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
25,41,39,18,40,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
6,12,1,5,7,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
20,25,15,27,16,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
40,29,47,65,20,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
3,64,33,1,10,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
76,44,74,65,77,"{'reg_alpha': 1, 'reg_lambda': 0}"
55,7,2,58,44,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
70,31,55,50,76,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
24,32,52,22,30,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
72,6,18,72,49,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
2,4,8,5,3,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
