rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
14,9,16,12,14,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
3,2,4,3,7,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
5,6,12,5,4,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
10,3,14,9,8,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
7,15,5,5,10,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
4,12,9,4,3,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
2,7,6,2,2,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
11,11,7,12,9,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
9,16,3,9,6,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
1,14,1,1,1,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
6,1,2,8,5,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,10,15,12,14,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
13,13,10,12,13,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
16,5,13,16,16,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
7,8,11,5,10,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
12,4,8,11,12,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
