rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
121,133,193,91,121,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
85,37,67,91,55,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
145,25,43,157,109,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
13,169,175,1,13,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
55,205,187,31,67,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
157,151,121,157,139,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
97,157,145,91,85,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
25,43,91,31,19,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
1,49,73,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
85,73,85,91,55,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
121,133,193,91,121,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 250}"
85,37,67,91,55,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 300}"
145,25,43,157,109,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 400}"
13,169,175,1,13,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 50}"
55,205,187,31,67,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 100}"
157,151,121,157,139,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 150}"
97,157,145,91,85,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 200}"
25,43,91,31,19,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 250}"
1,49,73,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 300}"
85,73,85,91,55,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 400}"
121,133,193,91,121,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
85,37,67,91,55,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
145,25,43,157,109,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
13,169,175,1,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
55,205,187,31,67,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
157,151,121,157,139,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
97,157,145,91,85,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
25,43,91,31,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
1,49,73,1,1,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
85,73,85,91,55,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
121,133,193,91,121,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
85,37,67,91,55,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
145,25,43,157,109,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
13,169,175,1,13,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
55,205,187,31,67,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
157,151,121,157,139,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
97,157,145,91,85,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
25,43,91,31,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
1,49,73,1,1,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
85,73,85,91,55,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
121,133,193,91,121,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
85,37,67,91,55,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
145,25,43,157,109,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
13,169,175,1,13,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
55,205,187,31,67,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
157,151,121,157,139,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
97,157,145,91,85,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
25,43,91,31,19,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
1,49,73,1,1,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
85,73,85,91,55,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
121,133,193,91,121,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
187,97,109,187,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
187,85,19,187,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
199,61,61,157,205,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
175,79,7,91,199,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
151,103,49,31,175,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
73,13,1,1,157,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
97,193,199,91,85,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
205,145,169,205,193,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
169,109,139,157,163,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
163,139,115,157,151,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
181,121,97,187,169,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
49,31,13,31,49,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
139,91,103,91,145,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
97,199,205,91,85,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
79,115,127,31,115,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
121,127,133,91,121,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
25,1,31,31,19,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
1,19,55,1,1,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
25,55,37,31,19,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
97,7,25,91,85,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
19,187,181,1,43,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
55,175,157,31,67,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
121,163,151,91,121,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
55,181,163,31,67,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
25,67,79,31,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
