rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
67,193,193,55,67,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
19,25,7,19,19,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
7,37,19,1,7,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
1,7,13,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
49,43,1,37,55,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
7,19,25,1,7,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
37,1,37,25,49,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
109,205,205,139,79,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
79,61,31,55,85,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
25,67,49,25,25,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
163,31,43,121,169,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
205,133,61,193,205,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
121,115,85,55,133,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
121,13,55,55,133,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
61,187,181,55,43,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
49,127,121,37,55,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
79,109,97,55,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
193,85,109,181,193,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
169,169,157,139,175,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
79,79,103,55,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
187,49,67,181,187,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
31,181,187,37,31,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
67,151,169,55,67,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
133,163,115,139,121,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
145,121,73,121,145,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
79,103,151,55,85,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
115,91,79,121,115,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
169,55,133,139,175,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
43,199,199,55,37,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
181,139,127,193,163,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
133,145,91,139,121,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
151,175,175,139,151,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
79,73,139,55,85,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
151,97,145,139,151,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
199,157,163,193,199,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
67,193,193,55,67,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
19,25,7,19,19,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
7,37,19,1,7,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
1,7,13,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
49,43,1,37,55,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
7,19,25,1,7,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
37,1,37,25,49,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
109,205,205,139,79,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
79,61,31,55,85,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
25,67,49,25,25,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
163,31,43,121,169,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
205,133,61,193,205,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
121,115,85,55,133,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
121,13,55,55,133,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
61,187,181,55,43,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
49,127,121,37,55,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
79,109,97,55,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
193,85,109,181,193,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
169,169,157,139,175,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 250}"
79,79,103,55,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 300}"
187,49,67,181,187,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 400}"
31,181,187,37,31,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 50}"
67,151,169,55,67,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 100}"
133,163,115,139,121,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 150}"
