rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,14,7,1,28,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
18,33,32,18,21,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
91,86,99,85,92,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
4,35,5,4,11,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
91,85,96,85,92,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
33,23,50,29,47,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
24,83,56,13,44,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
91,93,100,85,92,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
100,68,23,96,99,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
21,99,39,45,6,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
55,22,40,53,57,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
31,44,90,18,46,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
85,81,86,69,90,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
50,19,44,45,55,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
83,82,85,63,88,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
53,66,58,26,81,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
44,80,98,53,36,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
12,42,71,12,16,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
68,77,62,69,60,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
87,92,69,83,82,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
60,56,17,45,72,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
33,43,26,29,47,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
52,15,31,37,67,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
60,55,16,45,72,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
57,17,36,38,69,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
1,18,13,4,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
28,5,20,38,22,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
91,70,43,85,92,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
47,94,89,18,80,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
30,12,63,29,33,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
4,37,4,4,11,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
23,34,35,18,31,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
91,89,95,85,92,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
4,36,6,4,11,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
91,90,97,85,92,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
33,21,48,29,47,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
7,52,92,9,14,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
3,31,68,9,5,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
86,84,70,63,91,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
22,100,38,53,7,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
60,57,18,45,72,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
33,46,25,29,47,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
75,62,54,74,78,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
60,54,15,45,72,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
77,63,55,77,79,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
1,20,14,4,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
28,6,22,38,22,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
91,72,45,85,92,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
64,95,91,26,84,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
41,59,53,45,35,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
79,13,65,58,86,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
33,45,27,29,47,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
55,24,8,53,57,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
17,11,42,18,19,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
50,27,9,45,55,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
54,4,84,63,37,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
7,67,67,9,14,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
99,91,59,79,100,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
79,8,19,58,86,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
88,64,73,100,34,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
25,50,2,58,8,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
7,30,24,18,3,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
16,88,87,3,40,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
25,48,3,58,8,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
14,87,88,1,39,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
7,1,1,18,3,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
83,69,81,63,88,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
66,65,60,63,59,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
98,97,93,97,83,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
71,49,76,77,61,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
32,25,34,53,24,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
27,32,51,26,32,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
57,76,74,38,69,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
40,26,33,58,25,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
57,74,72,38,69,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
39,96,94,18,65,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
67,16,64,29,85,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
89,53,61,97,66,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
69,61,10,79,40,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
43,79,47,74,20,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
72,58,75,69,77,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
33,78,21,29,47,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
19,10,11,13,29,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
65,7,66,74,38,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
19,9,12,13,29,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
45,40,77,38,53,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
70,39,83,63,76,"{'reg_alpha': 0.9, 'reg_lambda': 0.5}"
73,98,30,85,42,"{'reg_alpha': 0.9, 'reg_lambda': 0.7}"
42,60,41,79,10,"{'reg_alpha': 0.9, 'reg_lambda': 0.9}"
74,28,82,79,62,"{'reg_alpha': 0.9, 'reg_lambda': 1.0}"
13,2,28,13,17,"{'reg_alpha': 1.0, 'reg_lambda': 1e-05}"
82,51,78,95,44,"{'reg_alpha': 1.0, 'reg_lambda': 0.001}"
48,73,52,69,26,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
15,3,29,17,18,"{'reg_alpha': 1.0, 'reg_lambda': 0.0}"
48,71,49,69,26,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
45,29,37,38,53,"{'reg_alpha': 1.0, 'reg_lambda': 0.3}"
76,41,46,83,63,"{'reg_alpha': 1.0, 'reg_lambda': 0.5}"
81,38,79,85,64,"{'reg_alpha': 1.0, 'reg_lambda': 0.7}"
78,75,80,94,43,"{'reg_alpha': 1.0, 'reg_lambda': 0.9}"
90,47,57,99,67,"{'reg_alpha': 1.0, 'reg_lambda': 1.0}"
