rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
66,4,91,68,47,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
66,3,93,68,47,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
78,33,23,85,67,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
66,4,92,68,47,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
78,31,21,85,67,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
39,70,85,38,34,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
82,96,77,94,39,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
25,8,8,26,31,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
53,46,57,85,11,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
3,91,96,8,2,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
74,41,60,56,91,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
70,26,40,47,89,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
29,19,2,24,56,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
74,40,59,56,91,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
99,27,7,97,99,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
30,42,39,31,33,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
41,67,12,33,42,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
2,52,43,2,7,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
42,84,81,47,36,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
98,48,80,99,73,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
84,20,62,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
84,21,67,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
48,36,14,26,87,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
84,23,66,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
62,59,5,56,63,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
50,10,54,38,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
17,38,17,16,29,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
33,93,46,38,22,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
97,97,83,94,85,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
10,88,34,2,51,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
21,1,28,11,71,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
66,6,95,68,47,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
78,30,20,85,67,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
21,1,28,11,71,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
78,32,22,85,67,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
39,71,84,38,34,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
82,95,76,94,39,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
25,9,9,26,31,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
53,47,58,85,11,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
3,90,94,8,2,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
84,22,64,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
84,24,65,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
48,37,15,26,87,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
84,25,63,74,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
62,60,6,56,63,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
50,10,54,38,59,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
17,39,16,16,29,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
33,93,47,38,22,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
