rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
501,518,458,500,348,"{'max_bin': 5, 'min_child_samples': 10}"
424,502,424,449,95,"{'max_bin': 5, 'min_child_samples': 20}"
503,506,482,503,359,"{'max_bin': 5, 'min_child_samples': 30}"
507,517,512,505,467,"{'max_bin': 5, 'min_child_samples': 40}"
502,510,501,506,236,"{'max_bin': 5, 'min_child_samples': 50}"
508,519,508,504,493,"{'max_bin': 5, 'min_child_samples': 60}"
509,508,488,510,395,"{'max_bin': 5, 'min_child_samples': 70}"
504,512,500,508,241,"{'max_bin': 5, 'min_child_samples': 80}"
510,500,496,511,398,"{'max_bin': 5, 'min_child_samples': 90}"
512,504,498,512,461,"{'max_bin': 5, 'min_child_samples': 100}"
498,505,502,507,175,"{'max_bin': 5, 'min_child_samples': 110}"
489,503,469,508,21,"{'max_bin': 5, 'min_child_samples': 120}"
513,507,510,513,461,"{'max_bin': 5, 'min_child_samples': 130}"
514,509,515,514,384,"{'max_bin': 5, 'min_child_samples': 140}"
516,514,514,515,400,"{'max_bin': 5, 'min_child_samples': 150}"
515,511,516,516,284,"{'max_bin': 5, 'min_child_samples': 160}"
517,513,517,517,401,"{'max_bin': 5, 'min_child_samples': 170}"
519,520,519,518,516,"{'max_bin': 5, 'min_child_samples': 180}"
519,515,520,518,516,"{'max_bin': 5, 'min_child_samples': 190}"
518,516,518,520,435,"{'max_bin': 5, 'min_child_samples': 200}"
187,387,82,257,109,"{'max_bin': 15, 'min_child_samples': 10}"
43,374,187,21,182,"{'max_bin': 15, 'min_child_samples': 20}"
124,324,79,210,52,"{'max_bin': 15, 'min_child_samples': 30}"
61,352,32,60,134,"{'max_bin': 15, 'min_child_samples': 40}"
99,470,120,60,256,"{'max_bin': 15, 'min_child_samples': 50}"
41,394,41,128,14,"{'max_bin': 15, 'min_child_samples': 60}"
139,451,243,226,54,"{'max_bin': 15, 'min_child_samples': 70}"
216,372,111,275,114,"{'max_bin': 15, 'min_child_samples': 80}"
153,404,56,192,158,"{'max_bin': 15, 'min_child_samples': 90}"
257,315,168,257,314,"{'max_bin': 15, 'min_child_samples': 100}"
219,319,140,243,230,"{'max_bin': 15, 'min_child_samples': 110}"
404,420,294,387,372,"{'max_bin': 15, 'min_child_samples': 120}"
233,439,178,327,28,"{'max_bin': 15, 'min_child_samples': 130}"
297,416,356,364,50,"{'max_bin': 15, 'min_child_samples': 140}"
223,485,217,334,11,"{'max_bin': 15, 'min_child_samples': 150}"
164,245,361,310,5,"{'max_bin': 15, 'min_child_samples': 160}"
445,477,478,470,106,"{'max_bin': 15, 'min_child_samples': 170}"
440,474,417,474,56,"{'max_bin': 15, 'min_child_samples': 180}"
455,471,493,465,221,"{'max_bin': 15, 'min_child_samples': 190}"
464,479,475,485,114,"{'max_bin': 15, 'min_child_samples': 200}"
103,269,52,147,98,"{'max_bin': 25, 'min_child_samples': 10}"
20,164,39,15,66,"{'max_bin': 25, 'min_child_samples': 20}"
54,173,147,92,44,"{'max_bin': 25, 'min_child_samples': 30}"
204,419,295,165,351,"{'max_bin': 25, 'min_child_samples': 40}"
162,200,115,74,395,"{'max_bin': 25, 'min_child_samples': 50}"
74,211,45,74,138,"{'max_bin': 25, 'min_child_samples': 60}"
74,403,107,74,138,"{'max_bin': 25, 'min_child_samples': 70}"
106,84,137,92,201,"{'max_bin': 25, 'min_child_samples': 80}"
114,135,36,74,260,"{'max_bin': 25, 'min_child_samples': 90}"
176,288,256,92,398,"{'max_bin': 25, 'min_child_samples': 100}"
264,450,234,243,372,"{'max_bin': 25, 'min_child_samples': 110}"
347,150,316,296,479,"{'max_bin': 25, 'min_child_samples': 120}"
203,177,327,281,64,"{'max_bin': 25, 'min_child_samples': 130}"
230,362,173,281,117,"{'max_bin': 25, 'min_child_samples': 140}"
164,250,223,310,5,"{'max_bin': 25, 'min_child_samples': 150}"
365,258,377,417,38,"{'max_bin': 25, 'min_child_samples': 160}"
338,495,428,393,58,"{'max_bin': 25, 'min_child_samples': 170}"
422,434,435,434,194,"{'max_bin': 25, 'min_child_samples': 180}"
405,472,437,427,132,"{'max_bin': 25, 'min_child_samples': 190}"
402,458,415,440,44,"{'max_bin': 25, 'min_child_samples': 200}"
126,417,245,92,268,"{'max_bin': 35, 'min_child_samples': 10}"
144,4,155,113,273,"{'max_bin': 35, 'min_child_samples': 20}"
17,57,46,36,26,"{'max_bin': 35, 'min_child_samples': 30}"
92,305,156,36,324,"{'max_bin': 35, 'min_child_samples': 40}"
83,347,17,113,93,"{'max_bin': 35, 'min_child_samples': 50}"
191,159,215,147,349,"{'max_bin': 35, 'min_child_samples': 60}"
58,255,285,74,84,"{'max_bin': 35, 'min_child_samples': 70}"
226,375,351,226,307,"{'max_bin': 35, 'min_child_samples': 80}"
269,431,279,192,466,"{'max_bin': 35, 'min_child_samples': 90}"
81,93,180,60,194,"{'max_bin': 35, 'min_child_samples': 100}"
392,185,333,296,518,"{'max_bin': 35, 'min_child_samples': 110}"
377,392,298,345,452,"{'max_bin': 35, 'min_child_samples': 120}"
347,467,340,296,479,"{'max_bin': 35, 'min_child_samples': 130}"
284,399,367,334,84,"{'max_bin': 35, 'min_child_samples': 140}"
266,445,300,310,123,"{'max_bin': 35, 'min_child_samples': 150}"
378,272,378,387,230,"{'max_bin': 35, 'min_child_samples': 160}"
385,337,386,421,73,"{'max_bin': 35, 'min_child_samples': 170}"
495,498,495,483,472,"{'max_bin': 35, 'min_child_samples': 180}"
494,490,494,480,469,"{'max_bin': 35, 'min_child_samples': 190}"
474,489,476,480,237,"{'max_bin': 35, 'min_child_samples': 200}"
26,109,59,15,121,"{'max_bin': 45, 'min_child_samples': 10}"
11,83,16,10,35,"{'max_bin': 45, 'min_child_samples': 20}"
110,189,78,43,327,"{'max_bin': 45, 'min_child_samples': 30}"
173,266,118,147,284,"{'max_bin': 45, 'min_child_samples': 40}"
103,154,47,147,98,"{'max_bin': 45, 'min_child_samples': 50}"
158,349,232,128,276,"{'max_bin': 45, 'min_child_samples': 60}"
20,275,11,15,66,"{'max_bin': 45, 'min_child_samples': 70}"
32,50,5,43,75,"{'max_bin': 45, 'min_child_samples': 80}"
153,287,283,192,158,"{'max_bin': 45, 'min_child_samples': 90}"
362,58,212,327,446,"{'max_bin': 45, 'min_child_samples': 100}"
267,252,218,266,316,"{'max_bin': 45, 'min_child_samples': 110}"
140,79,235,165,154,"{'max_bin': 45, 'min_child_samples': 120}"
393,77,278,351,487,"{'max_bin': 45, 'min_child_samples': 130}"
271,207,190,281,243,"{'max_bin': 45, 'min_child_samples': 140}"
381,473,337,321,504,"{'max_bin': 45, 'min_child_samples': 150}"
448,452,330,387,509,"{'max_bin': 45, 'min_child_samples': 160}"
375,195,369,393,173,"{'max_bin': 45, 'min_child_samples': 170}"
352,39,277,402,60,"{'max_bin': 45, 'min_child_samples': 180}"
460,328,429,459,290,"{'max_bin': 45, 'min_child_samples': 190}"
484,235,433,491,246,"{'max_bin': 45, 'min_child_samples': 200}"
126,257,18,92,268,"{'max_bin': 55, 'min_child_samples': 10}"
135,7,68,74,333,"{'max_bin': 55, 'min_child_samples': 20}"
49,148,38,113,29,"{'max_bin': 55, 'min_child_samples': 30}"
30,53,24,15,179,"{'max_bin': 55, 'min_child_samples': 40}"
282,301,143,275,318,"{'max_bin': 55, 'min_child_samples': 50}"
332,296,221,296,441,"{'max_bin': 55, 'min_child_samples': 60}"
262,314,307,210,417,"{'max_bin': 55, 'min_child_samples': 70}"
23,178,51,43,27,"{'max_bin': 55, 'min_child_samples': 80}"
87,286,266,92,142,"{'max_bin': 55, 'min_child_samples': 90}"
239,464,329,210,362,"{'max_bin': 55, 'min_child_samples': 100}"
381,48,148,321,504,"{'max_bin': 55, 'min_child_samples': 110}"
173,497,280,147,284,"{'max_bin': 55, 'min_child_samples': 120}"
353,188,308,351,340,"{'max_bin': 55, 'min_child_samples': 130}"
294,227,203,321,187,"{'max_bin': 55, 'min_child_samples': 140}"
457,426,445,402,510,"{'max_bin': 55, 'min_child_samples': 150}"
388,402,402,402,240,"{'max_bin': 55, 'min_child_samples': 160}"
307,114,360,364,98,"{'max_bin': 55, 'min_child_samples': 170}"
446,496,459,445,273,"{'max_bin': 55, 'min_child_samples': 180}"
430,475,465,459,105,"{'max_bin': 55, 'min_child_samples': 190}"
459,501,513,474,172,"{'max_bin': 55, 'min_child_samples': 200}"
