rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
32,8,15,48,9,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
5,21,1,6,7,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
47,68,62,32,63,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
42,4,11,48,32,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
47,66,64,32,63,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
30,36,24,26,52,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
47,98,95,32,63,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
3,27,6,2,12,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
10,46,4,6,42,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
78,99,75,75,71,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
19,19,49,17,45,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
8,41,43,6,23,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
33,28,31,17,77,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
12,23,48,11,24,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
12,9,17,11,24,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
7,57,50,4,41,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
2,85,55,4,1,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
37,59,69,32,54,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
71,60,59,62,84,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
67,95,82,66,58,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
96,52,90,84,99,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
19,37,29,17,45,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
12,62,33,11,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
42,11,22,48,32,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
54,16,67,48,56,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
30,38,73,26,52,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
69,81,54,59,88,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
78,86,85,75,71,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
98,70,92,98,96,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
83,58,78,66,90,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
42,2,10,48,32,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
5,22,2,6,7,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
47,66,63,32,63,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
42,3,9,48,32,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
47,65,65,32,63,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
19,50,56,17,45,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
47,97,94,32,63,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
3,26,7,2,12,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
10,44,5,6,42,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
73,100,76,66,69,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
96,51,89,84,99,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
19,34,28,17,45,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
12,73,34,11,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
27,12,21,32,14,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
12,72,35,11,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
19,39,72,17,45,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
69,82,57,59,88,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
85,89,83,81,74,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
98,71,93,98,96,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
56,43,71,32,80,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
34,76,27,32,29,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
86,90,53,84,61,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
76,54,61,84,21,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
34,75,26,32,29,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
76,52,58,84,21,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
81,45,41,62,95,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
90,49,77,84,92,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
39,33,8,59,10,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
42,83,51,48,32,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
53,10,12,26,87,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
27,93,86,32,14,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
93,84,42,91,93,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
58,79,38,48,82,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
27,94,88,32,14,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
58,79,37,48,82,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
18,47,44,11,44,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
54,42,32,48,56,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
34,88,70,32,29,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
37,40,16,32,54,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
67,74,74,66,58,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
40,25,19,26,78,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
84,13,25,75,86,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
60,31,84,62,37,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
40,24,18,26,78,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
65,32,87,66,38,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
