nohup: ignoring input
experiment: HUVEC dpcp_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=56, TN=2931, FP=109, FN=96; precision=0.339, recall=0.368
accuracy: (test=0.936) average_precision: (test=0.272) balanced_accuracy: (test=0.666) f1: (test=0.353) roc_auc: (test=0.778) 4.03s
[fit 2/34] END n_estimators=20; total=3192, TP=66, TN=2942, FP=98, FN=86; precision=0.402, recall=0.434
accuracy: (test=0.942) average_precision: (test=0.394) balanced_accuracy: (test=0.701) f1: (test=0.418) roc_auc: (test=0.781) 6.41s
[fit 3/34] END n_estimators=30; total=3192, TP=66, TN=2958, FP=82, FN=86; precision=0.446, recall=0.434
accuracy: (test=0.947) average_precision: (test=0.434) balanced_accuracy: (test=0.704) f1: (test=0.440) roc_auc: (test=0.818) 8.94s
[fit 4/34] END n_estimators=40; total=3192, TP=64, TN=2951, FP=89, FN=88; precision=0.418, recall=0.421
accuracy: (test=0.945) average_precision: (test=0.415) balanced_accuracy: (test=0.696) f1: (test=0.420) roc_auc: (test=0.821) 12.56s
[fit 5/34] END n_estimators=50; total=3192, TP=67, TN=2956, FP=84, FN=85; precision=0.444, recall=0.441
accuracy: (test=0.947) average_precision: (test=0.396) balanced_accuracy: (test=0.707) f1: (test=0.442) roc_auc: (test=0.826) 15.61s
[fit 6/34] END n_estimators=60; total=3192, TP=67, TN=2965, FP=75, FN=85; precision=0.472, recall=0.441
accuracy: (test=0.950) average_precision: (test=0.413) balanced_accuracy: (test=0.708) f1: (test=0.456) roc_auc: (test=0.829) 18.42s
[fit 7/34] END n_estimators=70; total=3192, TP=70, TN=2967, FP=73, FN=82; precision=0.490, recall=0.461
accuracy: (test=0.951) average_precision: (test=0.438) balanced_accuracy: (test=0.718) f1: (test=0.475) roc_auc: (test=0.826) 21.61s
[fit 8/34] END n_estimators=80; total=3192, TP=69, TN=2970, FP=70, FN=83; precision=0.496, recall=0.454
accuracy: (test=0.952) average_precision: (test=0.436) balanced_accuracy: (test=0.715) f1: (test=0.474) roc_auc: (test=0.836) 24.06s
[fit 9/34] END n_estimators=90; total=3192, TP=67, TN=2967, FP=73, FN=85; precision=0.479, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.445) balanced_accuracy: (test=0.708) f1: (test=0.459) roc_auc: (test=0.827) 27.71s
[fit 10/34] END n_estimators=100; total=3192, TP=68, TN=2969, FP=71, FN=84; precision=0.489, recall=0.447
accuracy: (test=0.951) average_precision: (test=0.446) balanced_accuracy: (test=0.712) f1: (test=0.467) roc_auc: (test=0.829) 30.39s
[fit 11/34] END n_estimators=110; total=3192, TP=67, TN=2972, FP=68, FN=85; precision=0.496, recall=0.441
accuracy: (test=0.952) average_precision: (test=0.460) balanced_accuracy: (test=0.709) f1: (test=0.467) roc_auc: (test=0.832) 32.77s
[fit 12/34] END n_estimators=120; total=3192, TP=65, TN=2969, FP=71, FN=87; precision=0.478, recall=0.428
accuracy: (test=0.951) average_precision: (test=0.444) balanced_accuracy: (test=0.702) f1: (test=0.451) roc_auc: (test=0.829) 36.45s
[fit 13/34] END n_estimators=130; total=3192, TP=65, TN=2962, FP=78, FN=87; precision=0.455, recall=0.428
accuracy: (test=0.948) average_precision: (test=0.440) balanced_accuracy: (test=0.701) f1: (test=0.441) roc_auc: (test=0.830) 39.33s
[fit 14/34] END n_estimators=140; total=3192, TP=69, TN=2975, FP=65, FN=83; precision=0.515, recall=0.454
accuracy: (test=0.954) average_precision: (test=0.454) balanced_accuracy: (test=0.716) f1: (test=0.483) roc_auc: (test=0.832) 41.92s
[fit 15/34] END n_estimators=150; total=3192, TP=69, TN=2965, FP=75, FN=83; precision=0.479, recall=0.454
accuracy: (test=0.951) average_precision: (test=0.447) balanced_accuracy: (test=0.715) f1: (test=0.466) roc_auc: (test=0.823) 45.39s
[fit 16/34] END n_estimators=160; total=3192, TP=69, TN=2971, FP=69, FN=83; precision=0.500, recall=0.454
accuracy: (test=0.952) average_precision: (test=0.453) balanced_accuracy: (test=0.716) f1: (test=0.476) roc_auc: (test=0.831) 47.95s
[fit 17/34] END n_estimators=170; total=3192, TP=68, TN=2965, FP=75, FN=84; precision=0.476, recall=0.447
accuracy: (test=0.950) average_precision: (test=0.452) balanced_accuracy: (test=0.711) f1: (test=0.461) roc_auc: (test=0.834) 51.70s
[fit 18/34] END n_estimators=180; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.445) balanced_accuracy: (test=0.705) f1: (test=0.457) roc_auc: (test=0.835) 54.59s
[fit 19/34] END n_estimators=190; total=3192, TP=65, TN=2970, FP=70, FN=87; precision=0.481, recall=0.428
accuracy: (test=0.951) average_precision: (test=0.449) balanced_accuracy: (test=0.702) f1: (test=0.453) roc_auc: (test=0.833) 57.16s
[fit 20/34] END n_estimators=200; total=3192, TP=64, TN=2974, FP=66, FN=88; precision=0.492, recall=0.421
accuracy: (test=0.952) average_precision: (test=0.453) balanced_accuracy: (test=0.700) f1: (test=0.454) roc_auc: (test=0.838) 1.01min
[fit 21/34] END n_estimators=210; total=3192, TP=65, TN=2973, FP=67, FN=87; precision=0.492, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.447) balanced_accuracy: (test=0.703) f1: (test=0.458) roc_auc: (test=0.832) 1.15min
[fit 22/34] END n_estimators=220; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.458) balanced_accuracy: (test=0.705) f1: (test=0.457) roc_auc: (test=0.835) 1.21min
[fit 23/34] END n_estimators=230; total=3192, TP=67, TN=2969, FP=71, FN=85; precision=0.486, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.456) balanced_accuracy: (test=0.709) f1: (test=0.462) roc_auc: (test=0.835) 1.26min
[fit 24/34] END n_estimators=240; total=3192, TP=68, TN=2973, FP=67, FN=84; precision=0.504, recall=0.447
accuracy: (test=0.953) average_precision: (test=0.454) balanced_accuracy: (test=0.713) f1: (test=0.474) roc_auc: (test=0.837) 1.31min
[fit 25/34] END n_estimators=250; total=3192, TP=66, TN=2968, FP=72, FN=86; precision=0.478, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.440) balanced_accuracy: (test=0.705) f1: (test=0.455) roc_auc: (test=0.824) 1.32min
[fit 26/34] END n_estimators=260; total=3192, TP=68, TN=2977, FP=63, FN=84; precision=0.519, recall=0.447
accuracy: (test=0.954) average_precision: (test=0.456) balanced_accuracy: (test=0.713) f1: (test=0.481) roc_auc: (test=0.829) 1.30min
[fit 27/34] END n_estimators=270; total=3192, TP=68, TN=2978, FP=62, FN=84; precision=0.523, recall=0.447
accuracy: (test=0.954) average_precision: (test=0.456) balanced_accuracy: (test=0.713) f1: (test=0.482) roc_auc: (test=0.831) 1.38min
[fit 28/34] END n_estimators=280; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.452) balanced_accuracy: (test=0.705) f1: (test=0.457) roc_auc: (test=0.837) 1.42min
[fit 29/34] END n_estimators=290; total=3192, TP=66, TN=2975, FP=65, FN=86; precision=0.504, recall=0.434
accuracy: (test=0.953) average_precision: (test=0.456) balanced_accuracy: (test=0.706) f1: (test=0.466) roc_auc: (test=0.838) 1.45min
[fit 30/34] END n_estimators=300; total=3192, TP=66, TN=2964, FP=76, FN=86; precision=0.465, recall=0.434
accuracy: (test=0.949) average_precision: (test=0.457) balanced_accuracy: (test=0.705) f1: (test=0.449) roc_auc: (test=0.840) 1.51min
[fit 31/34] END n_estimators=310; total=3192, TP=66, TN=2969, FP=71, FN=86; precision=0.482, recall=0.434
