nohup: ignoring input
experiment: HeLa-S3 dpcp_rf
trainSet len:[X=62640,y=62640]
testSet len:[X=3654,y=3654]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3654, TP=97, TN=3391, FP=89, FN=77; precision=0.522, recall=0.557
accuracy: (test=0.955) average_precision: (test=0.510) balanced_accuracy: (test=0.766) f1: (test=0.539) roc_auc: (test=0.854) 4.90s
[fit 2/34] END n_estimators=20; total=3654, TP=105, TN=3432, FP=48, FN=69; precision=0.686, recall=0.603
accuracy: (test=0.968) average_precision: (test=0.612) balanced_accuracy: (test=0.795) f1: (test=0.642) roc_auc: (test=0.879) 7.89s
[fit 3/34] END n_estimators=30; total=3654, TP=110, TN=3430, FP=50, FN=64; precision=0.688, recall=0.632
accuracy: (test=0.969) average_precision: (test=0.628) balanced_accuracy: (test=0.809) f1: (test=0.659) roc_auc: (test=0.884) 11.11s
[fit 4/34] END n_estimators=40; total=3654, TP=106, TN=3445, FP=35, FN=68; precision=0.752, recall=0.609
accuracy: (test=0.972) average_precision: (test=0.655) balanced_accuracy: (test=0.800) f1: (test=0.673) roc_auc: (test=0.903) 14.48s
[fit 5/34] END n_estimators=50; total=3654, TP=108, TN=3434, FP=46, FN=66; precision=0.701, recall=0.621
accuracy: (test=0.969) average_precision: (test=0.658) balanced_accuracy: (test=0.804) f1: (test=0.659) roc_auc: (test=0.900) 17.87s
[fit 6/34] END n_estimators=60; total=3654, TP=113, TN=3435, FP=45, FN=61; precision=0.715, recall=0.649
accuracy: (test=0.971) average_precision: (test=0.660) balanced_accuracy: (test=0.818) f1: (test=0.681) roc_auc: (test=0.899) 21.71s
[fit 7/34] END n_estimators=70; total=3654, TP=111, TN=3438, FP=42, FN=63; precision=0.725, recall=0.638
accuracy: (test=0.971) average_precision: (test=0.663) balanced_accuracy: (test=0.813) f1: (test=0.679) roc_auc: (test=0.910) 25.22s
[fit 8/34] END n_estimators=80; total=3654, TP=111, TN=3443, FP=37, FN=63; precision=0.750, recall=0.638
accuracy: (test=0.973) average_precision: (test=0.670) balanced_accuracy: (test=0.814) f1: (test=0.689) roc_auc: (test=0.905) 28.46s
[fit 9/34] END n_estimators=90; total=3654, TP=112, TN=3440, FP=40, FN=62; precision=0.737, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.680) balanced_accuracy: (test=0.816) f1: (test=0.687) roc_auc: (test=0.906) 30.82s
[fit 10/34] END n_estimators=100; total=3654, TP=111, TN=3445, FP=35, FN=63; precision=0.760, recall=0.638
accuracy: (test=0.973) average_precision: (test=0.672) balanced_accuracy: (test=0.814) f1: (test=0.694) roc_auc: (test=0.900) 35.69s
[fit 11/34] END n_estimators=110; total=3654, TP=113, TN=3441, FP=39, FN=61; precision=0.743, recall=0.649
accuracy: (test=0.973) average_precision: (test=0.666) balanced_accuracy: (test=0.819) f1: (test=0.693) roc_auc: (test=0.901) 39.01s
[fit 12/34] END n_estimators=120; total=3654, TP=109, TN=3446, FP=34, FN=65; precision=0.762, recall=0.626
accuracy: (test=0.973) average_precision: (test=0.679) balanced_accuracy: (test=0.808) f1: (test=0.688) roc_auc: (test=0.900) 42.20s
[fit 13/34] END n_estimators=130; total=3654, TP=112, TN=3440, FP=40, FN=62; precision=0.737, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.677) balanced_accuracy: (test=0.816) f1: (test=0.687) roc_auc: (test=0.903) 45.82s
[fit 14/34] END n_estimators=140; total=3654, TP=113, TN=3447, FP=33, FN=61; precision=0.774, recall=0.649
accuracy: (test=0.974) average_precision: (test=0.675) balanced_accuracy: (test=0.820) f1: (test=0.706) roc_auc: (test=0.901) 49.24s
[fit 15/34] END n_estimators=150; total=3654, TP=116, TN=3443, FP=37, FN=58; precision=0.758, recall=0.667
accuracy: (test=0.974) average_precision: (test=0.682) balanced_accuracy: (test=0.828) f1: (test=0.709) roc_auc: (test=0.908) 51.79s
