nohup: ignoring input
experiment: K562 dpcp_rf
trainSet len:[X=71150,y=71150]
testSet len:[X=4147,y=4147]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4147, TP=91, TN=3852, FP=98, FN=106; precision=0.481, recall=0.462
accuracy: (test=0.951) average_precision: (test=0.427) balanced_accuracy: (test=0.719) f1: (test=0.472) roc_auc: (test=0.839) 7.11s
[fit 2/34] END n_estimators=20; total=4147, TP=96, TN=3885, FP=65, FN=101; precision=0.596, recall=0.487
accuracy: (test=0.960) average_precision: (test=0.521) balanced_accuracy: (test=0.735) f1: (test=0.536) roc_auc: (test=0.844) 10.93s
[fit 3/34] END n_estimators=30; total=4147, TP=97, TN=3899, FP=51, FN=100; precision=0.655, recall=0.492
accuracy: (test=0.964) average_precision: (test=0.524) balanced_accuracy: (test=0.740) f1: (test=0.562) roc_auc: (test=0.852) 15.54s
[fit 4/34] END n_estimators=40; total=4147, TP=99, TN=3900, FP=50, FN=98; precision=0.664, recall=0.503
accuracy: (test=0.964) average_precision: (test=0.554) balanced_accuracy: (test=0.745) f1: (test=0.572) roc_auc: (test=0.860) 21.39s
[fit 5/34] END n_estimators=50; total=4147, TP=97, TN=3899, FP=51, FN=100; precision=0.655, recall=0.492
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.740) f1: (test=0.562) roc_auc: (test=0.853) 25.94s
[fit 6/34] END n_estimators=60; total=4147, TP=100, TN=3895, FP=55, FN=97; precision=0.645, recall=0.508
accuracy: (test=0.963) average_precision: (test=0.577) balanced_accuracy: (test=0.747) f1: (test=0.568) roc_auc: (test=0.858) 30.85s
[fit 7/34] END n_estimators=70; total=4147, TP=99, TN=3896, FP=54, FN=98; precision=0.647, recall=0.503
accuracy: (test=0.963) average_precision: (test=0.566) balanced_accuracy: (test=0.744) f1: (test=0.566) roc_auc: (test=0.851) 35.85s
[fit 8/34] END n_estimators=80; total=4147, TP=101, TN=3901, FP=49, FN=96; precision=0.673, recall=0.513
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.750) f1: (test=0.582) roc_auc: (test=0.860) 41.33s
