rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,69,1,1,19,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
2,1,8,2,38,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
13,12,5,9,80,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
12,5,9,4,88,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
16,7,11,11,82,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
6,22,4,4,40,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
3,14,3,3,39,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
20,26,7,11,86,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
23,20,26,14,83,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
42,35,19,32,75,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
11,25,10,11,45,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
25,43,13,17,84,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
8,6,2,4,77,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
10,13,25,9,53,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
5,50,6,8,15,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
39,59,23,32,61,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
26,41,17,19,72,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
33,19,22,26,58,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
18,27,16,21,34,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
14,8,21,14,55,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
22,47,24,21,47,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
38,24,15,29,73,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
15,37,14,19,32,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
9,40,20,14,18,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
4,18,12,4,12,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
50,44,30,39,85,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
