rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,11,1,5,79,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
8,26,6,3,78,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
1,40,2,1,60,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
4,9,3,2,64,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
3,12,5,5,49,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
17,6,9,7,86,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
26,2,4,17,81,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
14,7,7,14,73,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
16,16,10,12,80,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
11,39,20,10,70,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
9,1,8,12,54,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
6,35,13,3,65,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
17,13,11,7,86,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
11,3,12,10,70,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
5,19,14,14,29,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
38,22,25,18,89,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
36,4,32,20,82,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
17,41,17,7,86,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
44,15,16,29,83,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
44,47,30,29,83,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
27,10,15,26,58,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
25,44,38,18,75,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
21,17,26,20,56,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
43,45,27,20,90,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
33,32,40,26,76,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
21,48,19,20,56,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
30,23,36,33,61,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
7,61,22,16,30,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
23,51,23,29,47,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
2,33,29,20,6,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
28,37,43,29,59,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
35,36,21,35,63,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
20,21,24,26,46,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
15,73,34,25,45,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
41,5,18,35,77,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
30,18,33,33,61,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
49,56,39,40,53,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
51,20,28,47,42,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
39,49,45,40,39,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
40,46,31,37,50,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
61,71,50,50,55,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
53,54,41,40,69,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
47,31,35,44,41,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
37,8,42,38,38,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
46,77,37,38,52,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
42,34,44,57,8,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
57,79,51,52,43,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
13,50,49,43,1,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
55,80,58,55,34,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
64,52,52,48,74,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
29,59,46,44,20,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
34,24,47,46,22,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
52,84,66,52,32,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
57,69,48,52,43,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
24,43,60,50,2,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
72,67,57,68,39,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
32,14,56,48,12,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
65,38,59,60,48,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
80,28,62,64,66,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
54,25,53,57,25,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
48,63,54,56,15,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
80,62,61,64,66,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
68,29,63,62,37,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
63,57,68,64,19,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
77,53,55,75,31,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
90,65,83,83,85,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
85,42,64,70,72,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
75,89,73,62,50,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
80,72,82,64,66,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
60,30,71,68,10,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
62,68,67,70,11,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
50,27,65,57,16,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
69,81,74,70,28,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
86,85,75,80,35,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
76,74,84,78,24,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
56,70,69,70,5,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
59,58,70,61,18,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
67,75,79,74,22,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
88,86,78,86,36,"{'min_samples_leaf': 9, 'min_samples_split': 8}"
87,60,72,85,27,"{'min_samples_leaf': 9, 'min_samples_split': 9}"
83,55,76,84,26,"{'min_samples_leaf': 9, 'min_samples_split': 10}"
66,78,80,80,3,"{'min_samples_leaf': 10, 'min_samples_split': 2}"
78,87,86,76,32,"{'min_samples_leaf': 10, 'min_samples_split': 3}"
89,66,81,90,20,"{'min_samples_leaf': 10, 'min_samples_split': 4}"
84,90,90,88,17,"{'min_samples_leaf': 10, 'min_samples_split': 5}"
79,64,77,89,9,"{'min_samples_leaf': 10, 'min_samples_split': 6}"
73,76,88,86,4,"{'min_samples_leaf': 10, 'min_samples_split': 7}"
71,82,87,80,7,"{'min_samples_leaf': 10, 'min_samples_split': 8}"
70,83,85,76,13,"{'min_samples_leaf': 10, 'min_samples_split': 9}"
74,88,89,79,14,"{'min_samples_leaf': 10, 'min_samples_split': 10}"
