rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,33,33,{'n_estimators': 20}
31,32,32,32,29,{'n_estimators': 30}
30,20,31,28,32,{'n_estimators': 40}
32,29,30,31,31,{'n_estimators': 50}
28,31,29,30,11,{'n_estimators': 60}
29,1,28,29,28,{'n_estimators': 70}
22,16,26,20,27,{'n_estimators': 80}
25,12,15,25,19,{'n_estimators': 90}
14,28,24,12,24,{'n_estimators': 100}
18,26,27,20,9,{'n_estimators': 110}
24,27,16,16,30,{'n_estimators': 120}
25,23,19,25,19,{'n_estimators': 130}
4,25,23,3,4,{'n_estimators': 140}
1,5,11,4,1,{'n_estimators': 150}
16,24,17,16,15,{'n_estimators': 160}
3,21,25,1,12,{'n_estimators': 170}
21,14,21,23,10,{'n_estimators': 180}
5,8,9,4,5,{'n_estimators': 190}
19,22,4,16,26,{'n_estimators': 200}
11,10,2,9,13,{'n_estimators': 210}
14,18,1,12,24,{'n_estimators': 220}
8,2,6,9,7,{'n_estimators': 230}
12,13,18,12,8,{'n_estimators': 240}
9,19,10,7,22,{'n_estimators': 250}
9,4,12,7,22,{'n_estimators': 260}
2,7,7,1,3,{'n_estimators': 270}
20,9,22,20,17,{'n_estimators': 280}
25,15,13,25,19,{'n_estimators': 290}
5,3,8,4,5,{'n_estimators': 300}
16,11,20,16,15,{'n_estimators': 310}
7,30,3,9,2,{'n_estimators': 320}
23,17,14,23,18,{'n_estimators': 330}
13,6,5,12,14,{'n_estimators': 340}
