rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,32,34,34,34,{'n_estimators': 10}
33,34,33,33,33,{'n_estimators': 20}
32,33,32,32,26,{'n_estimators': 30}
8,30,31,11,10,{'n_estimators': 40}
6,31,29,5,8,{'n_estimators': 50}
21,29,30,15,27,{'n_estimators': 60}
31,1,24,28,32,{'n_estimators': 70}
5,16,25,4,4,{'n_estimators': 80}
17,26,23,21,6,{'n_estimators': 90}
19,24,26,15,20,{'n_estimators': 100}
30,2,28,27,31,{'n_estimators': 110}
27,28,19,28,25,{'n_estimators': 120}
8,23,13,11,10,{'n_estimators': 130}
26,6,12,21,28,{'n_estimators': 140}
13,19,5,18,5,{'n_estimators': 150}
23,17,6,21,22,{'n_estimators': 160}
3,22,18,1,7,{'n_estimators': 170}
6,21,17,5,8,{'n_estimators': 180}
22,13,2,26,14,{'n_estimators': 190}
23,20,22,21,22,{'n_estimators': 200}
10,3,1,5,15,{'n_estimators': 210}
10,7,21,5,15,{'n_estimators': 220}
15,25,15,11,18,{'n_estimators': 230}
28,11,27,28,29,{'n_estimators': 240}
18,27,20,18,13,{'n_estimators': 250}
4,8,10,5,2,{'n_estimators': 260}
2,9,16,3,3,{'n_estimators': 270}
14,5,4,15,12,{'n_estimators': 280}
28,12,3,28,29,{'n_estimators': 290}
10,14,11,5,15,{'n_estimators': 300}
1,10,14,1,1,{'n_estimators': 310}
23,15,9,21,22,{'n_estimators': 320}
15,18,7,11,18,{'n_estimators': 330}
20,4,8,18,21,{'n_estimators': 340}
