rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,12,4,2,3,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
2,2,2,1,30,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
9,7,12,7,55,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
4,14,3,2,20,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
3,1,1,5,10,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
11,5,5,8,57,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
24,21,16,18,82,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
16,3,11,12,72,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
20,28,9,21,44,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
6,36,6,5,33,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
18,31,10,11,81,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
5,11,7,2,32,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
15,19,15,16,61,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
21,77,8,17,73,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
33,37,19,24,84,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
12,10,13,12,39,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
26,4,14,26,46,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
64,26,33,34,90,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
10,53,17,8,38,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
14,15,23,18,27,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
7,9,18,8,11,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
8,72,21,12,5,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
12,35,24,12,39,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
26,32,20,26,46,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
36,54,30,26,77,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
32,18,22,26,65,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
30,16,31,25,64,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
17,40,26,21,28,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
25,23,29,21,75,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
65,29,27,39,89,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
47,82,36,34,85,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
19,43,32,20,43,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
39,42,28,39,67,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
35,46,34,37,51,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
26,13,25,26,46,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
38,60,38,34,78,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
39,68,43,39,67,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
55,27,45,55,58,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
48,6,35,39,79,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
61,8,51,45,80,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
26,41,40,26,46,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
57,86,47,39,86,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
34,34,37,33,66,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
43,65,41,52,36,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
