rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,8,2,1,10,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
14,29,7,8,76,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
4,2,1,2,49,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
10,1,5,8,53,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
21,5,4,13,78,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
33,7,10,28,65,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
3,38,13,2,25,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
16,56,15,13,56,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
47,3,11,36,87,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
24,36,16,23,34,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
6,4,3,8,13,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
22,14,8,19,61,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
9,11,12,5,75,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
5,6,9,5,26,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
12,42,23,13,30,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
2,15,6,2,11,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
8,49,24,5,51,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
16,27,19,13,56,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
10,13,21,8,53,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
37,30,20,28,86,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
6,48,22,8,13,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
16,51,17,13,56,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
25,16,27,19,80,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
20,12,18,19,32,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
12,17,14,13,30,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
26,18,35,23,63,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
35,33,26,32,66,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
35,46,32,32,66,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
26,83,34,23,63,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
42,31,33,36,81,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
48,20,29,45,41,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
38,32,36,36,39,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
30,28,38,28,38,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
15,9,25,19,15,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
40,10,28,36,68,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
31,22,31,32,17,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
48,44,48,45,41,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
51,21,39,48,70,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
41,47,40,42,40,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
63,24,45,59,83,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
31,68,44,32,17,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
28,23,30,28,5,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
19,86,37,23,3,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
23,25,41,27,4,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
44,61,43,42,69,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
53,54,53,51,43,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
70,78,63,59,90,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
54,57,46,54,22,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
61,88,58,59,46,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
56,76,52,54,44,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
56,59,54,54,44,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
39,40,49,42,19,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
34,35,42,36,6,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
55,45,51,51,71,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
59,26,55,59,23,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
29,64,59,36,1,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
58,82,61,54,72,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
59,79,60,59,23,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
50,67,56,51,21,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
45,19,57,48,7,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
45,53,50,48,7,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
71,65,66,70,52,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
43,55,47,45,20,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
82,62,74,70,88,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
75,52,67,68,84,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
65,85,70,65,47,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
52,80,82,54,9,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
86,60,75,86,35,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
62,71,72,59,73,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
65,39,62,65,47,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
76,37,64,74,55,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
68,40,65,65,74,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
85,66,69,83,62,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
79,81,83,80,59,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
79,58,84,80,59,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
84,89,71,80,79,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
67,73,76,70,12,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
72,43,79,74,27,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
