rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
728,762,668,749,755,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
718,753,672,716,745,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
744,756,685,730,766,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
700,724,687,758,726,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
724,731,659,746,751,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
729,720,624,722,755,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
720,718,612,717,747,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
701,707,609,714,728,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
734,691,597,713,755,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
637,622,590,572,632,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
599,588,518,624,599,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
567,573,480,585,542,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
557,557,498,454,536,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
547,534,489,619,478,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
561,488,437,758,485,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
748,347,345,780,778,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
153,193,231,224,218,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
748,781,781,780,778,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
748,781,781,780,778,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
161,124,56,94,317,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
195,185,121,117,415,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
227,226,164,126,488,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
722,329,213,773,771,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
732,577,282,774,772,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
743,779,779,778,776,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
699,733,667,757,725,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
719,745,697,745,747,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
724,751,700,746,751,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
