rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
510,576,579,525,485,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
510,584,587,525,485,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
510,570,573,525,485,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
533,565,568,549,508,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
541,561,594,554,515,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
541,558,565,554,515,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
531,556,563,546,506,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
539,553,598,562,513,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
504,546,562,564,479,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
503,545,613,564,478,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
477,535,615,516,454,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
471,524,612,548,447,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
449,511,508,477,424,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
408,483,493,518,365,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
377,453,461,410,349,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
248,326,411,374,198,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
208,203,282,290,139,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
554,138,149,585,554,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
568,2,92,599,599,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
51,112,83,19,131,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
560,167,118,591,575,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
123,231,171,75,207,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
261,301,213,132,527,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
575,591,294,606,606,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
585,616,616,616,616,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
510,576,579,525,485,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
510,584,587,525,485,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
510,570,573,525,485,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
533,565,568,549,508,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
541,561,594,554,515,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
541,558,565,554,515,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
531,556,563,546,506,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
539,553,598,562,513,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
502,544,608,348,482,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
500,525,614,578,456,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
453,514,611,561,418,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
435,488,557,524,397,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
452,475,504,518,421,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
