rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
240,240,234,240,240,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
234,238,238,232,234,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
229,234,229,234,228,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
230,228,240,229,230,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
217,216,221,217,213,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
205,206,203,204,195,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
192,189,185,187,171,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
164,165,160,166,133,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
150,147,145,150,117,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
135,126,133,137,94,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
123,104,125,128,93,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
64,76,85,94,79,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
112,57,40,62,197,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
112,91,27,62,197,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
126,125,69,66,207,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
141,149,101,79,214,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
232,239,237,234,232,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
227,236,231,239,227,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
233,231,223,231,233,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
219,222,233,225,219,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
210,211,211,212,203,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
198,197,197,196,177,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
177,179,172,175,160,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
158,157,153,156,125,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
137,127,137,140,95,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
118,83,121,125,59,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
97,33,102,118,72,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
66,38,83,98,15,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
14,58,41,13,88,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
112,89,26,62,197,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
126,109,68,66,207,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
141,155,106,79,214,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
226,237,232,237,226,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
237,233,226,237,237,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
225,227,236,226,225,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
215,217,220,215,211,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
206,204,205,205,196,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
194,188,189,188,172,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
168,169,163,169,136,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
151,135,147,149,119,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
125,103,130,132,80,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
93,31,112,117,36,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
67,2,74,99,19,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
40,34,54,84,1,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
12,75,42,28,16,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
39,90,25,14,102,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
126,123,70,66,207,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
141,152,104,79,214,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
236,235,228,236,236,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
238,230,218,230,238,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
222,221,227,221,222,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
212,212,212,211,205,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
200,198,199,199,179,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
185,181,181,179,168,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
162,162,157,160,132,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
140,129,141,142,100,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
117,60,122,124,74,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
76,3,84,108,18,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
41,4,56,85,3,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
37,35,39,66,21,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
13,73,2,15,60,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
26,88,14,1,96,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
63,111,55,27,123,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
141,151,103,79,214,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
239,232,222,233,239,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
