rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
45,69,21,51,51,"{'reg_alpha': 0, 'reg_lambda': 0}"
34,31,69,25,43,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
44,62,53,14,76,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
10,40,49,9,19,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
12,65,26,20,11,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
52,80,70,41,58,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
34,6,43,25,43,"{'reg_alpha': 0, 'reg_lambda': 1}"
68,17,50,41,79,"{'reg_alpha': 0, 'reg_lambda': 2}"
10,42,20,9,19,"{'reg_alpha': 0, 'reg_lambda': 3}"
60,36,44,41,70,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
68,51,78,41,79,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
37,35,35,41,38,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
24,61,57,25,25,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
33,26,31,62,7,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
2,63,12,5,3,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
67,16,41,62,63,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
40,3,45,37,46,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
63,72,54,55,61,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
45,79,36,51,51,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
39,75,30,25,57,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
65,25,34,60,62,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
30,57,32,30,37,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
14,49,59,30,5,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
76,20,25,71,74,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
52,78,65,41,58,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
52,28,42,41,58,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
64,77,71,69,40,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
40,50,40,37,46,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
8,70,24,14,9,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
19,34,27,25,13,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
5,45,7,3,17,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
56,19,51,60,54,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
12,5,22,20,11,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
8,54,23,14,9,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
17,21,16,14,21,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
40,76,14,37,46,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
45,71,9,51,51,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
17,24,6,14,21,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
55,64,75,37,68,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
58,55,5,30,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
58,67,37,30,77,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
60,68,73,41,70,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
3,13,13,1,31,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
77,44,55,62,81,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
28,2,4,9,56,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
51,46,47,30,67,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
3,30,46,1,31,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
20,22,11,9,34,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
43,8,19,41,50,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
21,14,10,20,23,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
7,33,1,5,18,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
60,11,66,41,70,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
