rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
52,52,49,51,53,"{'max_depth': 3, 'min_child_weight': 1}"
53,51,54,54,52,"{'max_depth': 3, 'min_child_weight': 2}"
49,53,52,49,49,"{'max_depth': 3, 'min_child_weight': 3}"
54,54,53,52,54,"{'max_depth': 3, 'min_child_weight': 4}"
50,50,51,50,51,"{'max_depth': 3, 'min_child_weight': 5}"
51,49,50,53,50,"{'max_depth': 3, 'min_child_weight': 6}"
45,45,43,45,32,"{'max_depth': 4, 'min_child_weight': 1}"
46,46,48,46,36,"{'max_depth': 4, 'min_child_weight': 2}"
48,47,47,47,43,"{'max_depth': 4, 'min_child_weight': 3}"
44,43,46,43,26,"{'max_depth': 4, 'min_child_weight': 4}"
43,48,45,44,1,"{'max_depth': 4, 'min_child_weight': 5}"
47,44,44,48,4,"{'max_depth': 4, 'min_child_weight': 6}"
37,38,37,37,6,"{'max_depth': 5, 'min_child_weight': 1}"
40,42,40,38,13,"{'max_depth': 5, 'min_child_weight': 2}"
41,36,39,41,30,"{'max_depth': 5, 'min_child_weight': 3}"
39,40,42,40,3,"{'max_depth': 5, 'min_child_weight': 4}"
38,41,38,39,2,"{'max_depth': 5, 'min_child_weight': 5}"
42,39,41,42,34,"{'max_depth': 5, 'min_child_weight': 6}"
31,5,31,30,16,"{'max_depth': 6, 'min_child_weight': 1}"
29,35,32,30,9,"{'max_depth': 6, 'min_child_weight': 2}"
33,29,35,33,20,"{'max_depth': 6, 'min_child_weight': 3}"
34,31,34,34,22,"{'max_depth': 6, 'min_child_weight': 4}"
35,17,33,35,34,"{'max_depth': 6, 'min_child_weight': 5}"
36,37,36,36,45,"{'max_depth': 6, 'min_child_weight': 6}"
24,6,21,24,38,"{'max_depth': 7, 'min_child_weight': 1}"
7,22,17,9,12,"{'max_depth': 7, 'min_child_weight': 2}"
26,26,26,26,27,"{'max_depth': 7, 'min_child_weight': 3}"
19,24,29,21,14,"{'max_depth': 7, 'min_child_weight': 4}"
22,10,23,26,8,"{'max_depth': 7, 'min_child_weight': 5}"
30,25,30,32,10,"{'max_depth': 7, 'min_child_weight': 6}"
25,19,24,18,47,"{'max_depth': 8, 'min_child_weight': 1}"
13,3,9,13,23,"{'max_depth': 8, 'min_child_weight': 2}"
11,34,20,13,17,"{'max_depth': 8, 'min_child_weight': 3}"
16,14,10,22,4,"{'max_depth': 8, 'min_child_weight': 4}"
18,7,27,19,19,"{'max_depth': 8, 'min_child_weight': 5}"
27,20,25,29,28,"{'max_depth': 8, 'min_child_weight': 6}"
10,8,5,9,33,"{'max_depth': 9, 'min_child_weight': 1}"
17,12,3,12,40,"{'max_depth': 9, 'min_child_weight': 2}"
21,15,8,17,41,"{'max_depth': 9, 'min_child_weight': 3}"
22,11,16,22,37,"{'max_depth': 9, 'min_child_weight': 4}"
20,32,4,19,25,"{'max_depth': 9, 'min_child_weight': 5}"
13,4,11,13,23,"{'max_depth': 9, 'min_child_weight': 6}"
3,16,6,4,20,"{'max_depth': 10, 'min_child_weight': 1}"
1,2,18,1,6,"{'max_depth': 10, 'min_child_weight': 2}"
2,1,2,2,11,"{'max_depth': 10, 'min_child_weight': 3}"
9,21,14,11,15,"{'max_depth': 10, 'min_child_weight': 4}"
28,13,19,25,44,"{'max_depth': 10, 'min_child_weight': 5}"
11,18,15,13,17,"{'max_depth': 10, 'min_child_weight': 6}"
8,9,1,4,42,"{'max_depth': 12, 'min_child_weight': 1}"
4,30,7,4,29,"{'max_depth': 12, 'min_child_weight': 2}"
15,27,12,8,45,"{'max_depth': 12, 'min_child_weight': 3}"
5,28,13,2,39,"{'max_depth': 12, 'min_child_weight': 4}"
32,33,28,26,48,"{'max_depth': 12, 'min_child_weight': 5}"
6,23,22,7,31,"{'max_depth': 12, 'min_child_weight': 6}"
