rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,20,{'n_estimators': 50}
19,19,19,19,19,{'n_estimators': 100}
18,18,18,18,18,{'n_estimators': 150}
17,17,17,17,16,{'n_estimators': 200}
16,16,16,16,14,{'n_estimators': 250}
15,15,15,15,17,{'n_estimators': 300}
14,14,14,14,15,{'n_estimators': 350}
13,13,13,13,9,{'n_estimators': 400}
12,11,12,12,12,{'n_estimators': 450}
11,12,11,11,2,{'n_estimators': 500}
9,10,10,10,1,{'n_estimators': 550}
10,9,9,9,11,{'n_estimators': 600}
8,8,8,8,4,{'n_estimators': 650}
7,7,7,7,6,{'n_estimators': 700}
6,6,6,6,10,{'n_estimators': 750}
5,5,5,5,8,{'n_estimators': 800}
3,4,4,4,3,{'n_estimators': 850}
2,3,3,2,5,{'n_estimators': 900}
4,2,2,3,13,{'n_estimators': 950}
1,1,1,1,7,{'n_estimators': 1000}
