rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
51,53,50,51,51,"{'max_depth': 3, 'min_child_weight': 1}"
52,54,53,50,52,"{'max_depth': 3, 'min_child_weight': 2}"
53,49,49,53,53,"{'max_depth': 3, 'min_child_weight': 3}"
50,51,51,52,50,"{'max_depth': 3, 'min_child_weight': 4}"
49,50,52,49,49,"{'max_depth': 3, 'min_child_weight': 5}"
54,52,54,54,54,"{'max_depth': 3, 'min_child_weight': 6}"
47,47,47,44,46,"{'max_depth': 4, 'min_child_weight': 1}"
43,44,43,47,34,"{'max_depth': 4, 'min_child_weight': 2}"
48,43,46,46,47,"{'max_depth': 4, 'min_child_weight': 3}"
44,45,44,44,41,"{'max_depth': 4, 'min_child_weight': 4}"
46,46,48,48,31,"{'max_depth': 4, 'min_child_weight': 5}"
45,48,45,43,45,"{'max_depth': 4, 'min_child_weight': 6}"
38,38,37,38,13,"{'max_depth': 5, 'min_child_weight': 1}"
39,37,38,40,3,"{'max_depth': 5, 'min_child_weight': 2}"
37,41,42,37,9,"{'max_depth': 5, 'min_child_weight': 3}"
40,39,39,39,33,"{'max_depth': 5, 'min_child_weight': 4}"
41,40,40,42,8,"{'max_depth': 5, 'min_child_weight': 5}"
42,42,41,41,25,"{'max_depth': 5, 'min_child_weight': 6}"
30,31,32,31,1,"{'max_depth': 6, 'min_child_weight': 1}"
32,33,31,32,4,"{'max_depth': 6, 'min_child_weight': 2}"
34,32,33,33,18,"{'max_depth': 6, 'min_child_weight': 3}"
35,35,35,33,24,"{'max_depth': 6, 'min_child_weight': 4}"
33,34,34,35,2,"{'max_depth': 6, 'min_child_weight': 5}"
36,36,36,36,6,"{'max_depth': 6, 'min_child_weight': 6}"
27,12,27,23,35,"{'max_depth': 7, 'min_child_weight': 1}"
24,18,21,26,20,"{'max_depth': 7, 'min_child_weight': 2}"
25,27,28,27,22,"{'max_depth': 7, 'min_child_weight': 3}"
21,26,25,28,10,"{'max_depth': 7, 'min_child_weight': 4}"
28,24,30,29,11,"{'max_depth': 7, 'min_child_weight': 5}"
31,30,29,30,23,"{'max_depth': 7, 'min_child_weight': 6}"
11,11,9,4,38,"{'max_depth': 8, 'min_child_weight': 1}"
12,20,16,13,14,"{'max_depth': 8, 'min_child_weight': 2}"
13,22,18,12,21,"{'max_depth': 8, 'min_child_weight': 3}"
9,9,12,10,16,"{'max_depth': 8, 'min_child_weight': 4}"
20,21,22,21,29,"{'max_depth': 8, 'min_child_weight': 5}"
26,19,26,24,30,"{'max_depth': 8, 'min_child_weight': 6}"
18,7,7,13,43,"{'max_depth': 9, 'min_child_weight': 1}"
8,16,15,8,26,"{'max_depth': 9, 'min_child_weight': 2}"
16,29,14,15,39,"{'max_depth': 9, 'min_child_weight': 3}"
15,8,10,19,17,"{'max_depth': 9, 'min_child_weight': 4}"
10,10,11,15,5,"{'max_depth': 9, 'min_child_weight': 5}"
23,23,23,21,37,"{'max_depth': 9, 'min_child_weight': 6}"
6,4,1,1,42,"{'max_depth': 10, 'min_child_weight': 1}"
7,3,5,9,15,"{'max_depth': 10, 'min_child_weight': 2}"
19,25,17,15,44,"{'max_depth': 10, 'min_child_weight': 3}"
2,1,4,6,7,"{'max_depth': 10, 'min_child_weight': 4}"
22,17,20,20,36,"{'max_depth': 10, 'min_child_weight': 5}"
29,28,24,25,48,"{'max_depth': 10, 'min_child_weight': 6}"
5,6,8,3,32,"{'max_depth': 12, 'min_child_weight': 1}"
1,13,3,2,28,"{'max_depth': 12, 'min_child_weight': 2}"
3,5,6,6,12,"{'max_depth': 12, 'min_child_weight': 3}"
14,2,2,11,27,"{'max_depth': 12, 'min_child_weight': 4}"
16,14,19,15,39,"{'max_depth': 12, 'min_child_weight': 5}"
4,15,13,4,19,"{'max_depth': 12, 'min_child_weight': 6}"
