rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,9,9,7,6,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
16,6,13,16,16,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
5,13,7,5,5,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
6,8,6,5,11,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
11,7,8,13,1,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
2,1,2,2,3,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
12,3,3,11,14,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
7,11,10,7,6,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
13,5,11,12,15,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
3,10,5,3,4,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
7,2,1,7,6,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,15,16,14,12,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
4,14,12,3,10,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
1,4,4,1,2,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
15,12,14,15,13,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
7,16,15,7,6,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
