rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
129,125,129,129,129,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
125,101,101,121,125,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
1,65,105,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
121,73,89,121,117,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
85,97,97,85,85,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
5,5,21,5,5,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
73,61,85,73,73,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
89,121,121,85,89,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
89,113,113,85,89,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
5,105,109,5,5,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
73,45,13,73,73,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
33,9,9,33,33,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
89,13,5,85,89,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
33,1,1,33,33,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
117,129,125,117,121,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
113,85,73,113,113,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
33,49,41,33,33,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
73,37,29,73,73,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
33,25,17,33,33,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
13,29,33,5,13,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
33,17,25,33,33,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
133,137,137,133,133,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
89,117,117,85,89,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
89,77,65,85,89,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
13,53,49,5,13,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
33,57,53,33,33,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
33,21,37,33,33,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
13,33,45,5,13,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
137,133,133,137,137,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
89,109,93,85,89,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
33,89,81,33,33,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
33,69,61,33,33,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
33,93,77,33,33,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
13,81,69,5,13,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
13,41,57,5,13,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
129,125,129,129,129,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
125,101,101,121,125,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
1,65,105,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
121,73,89,121,117,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
85,97,97,85,85,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
5,5,21,5,5,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
73,61,85,73,73,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
89,121,121,85,89,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
89,113,113,85,89,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
5,105,109,5,5,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
73,45,13,73,73,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
33,9,9,33,33,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
89,13,5,85,89,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
33,1,1,33,33,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
