rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
17,93,109,9,17,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
45,25,37,81,41,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
17,29,25,9,17,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
61,17,21,49,61,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
81,9,13,49,89,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
113,5,1,81,113,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
41,13,17,33,45,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
77,121,125,81,73,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
137,69,81,81,137,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
113,73,85,81,113,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
97,45,45,81,97,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
125,41,33,129,125,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
97,33,41,81,97,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
93,37,29,117,81,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
105,117,117,117,105,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
113,137,129,81,113,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
73,97,101,33,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
53,57,49,65,49,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
53,61,61,65,49,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
125,21,9,129,125,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
133,1,5,137,133,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
105,129,133,117,105,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
89,109,105,65,93,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
49,101,97,21,57,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
13,77,69,21,13,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
37,53,57,33,37,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
29,65,65,33,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
33,49,53,65,33,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
85,133,137,113,77,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
61,113,113,49,61,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
61,125,121,49,61,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
5,105,93,5,5,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
25,85,77,21,25,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
1,89,89,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
9,81,73,9,9,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
17,93,109,9,17,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
45,25,37,81,41,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
17,29,25,9,17,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
61,17,21,49,61,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
81,9,13,49,89,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
113,5,1,81,113,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
41,13,17,33,45,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
77,121,125,81,73,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
137,69,81,81,137,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
113,73,85,81,113,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
