rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
73,93,101,73,73,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
13,41,53,5,13,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
37,33,33,17,37,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
61,25,37,49,61,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
37,5,13,17,37,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
37,17,17,17,37,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
85,13,1,73,85,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
113,125,125,113,113,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
85,69,85,73,85,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
109,85,73,109,109,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
85,49,45,73,85,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
53,57,49,49,53,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
73,53,41,73,73,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
53,1,5,49,53,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
113,113,113,113,113,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
125,81,77,125,125,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
85,97,89,73,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
85,89,97,73,85,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
5,61,65,5,5,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
37,45,57,17,37,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
33,9,9,49,33,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
125,133,133,125,125,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
125,77,81,125,125,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
61,101,105,49,61,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
61,105,109,49,61,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
17,73,69,17,17,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
1,65,61,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
17,21,21,17,17,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
113,137,137,113,113,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
137,129,129,137,137,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
85,117,117,73,85,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
73,121,121,73,73,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
5,109,93,5,5,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
17,37,29,17,17,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
17,29,25,17,17,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
73,93,101,73,73,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
13,41,53,5,13,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
37,33,33,17,37,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
61,25,37,49,61,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
37,5,13,17,37,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
37,17,17,17,37,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
85,13,1,73,85,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
113,125,125,113,113,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
85,69,85,73,85,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
109,85,73,109,109,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
85,49,45,73,85,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
53,57,49,49,53,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
73,53,41,73,73,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
53,1,5,49,53,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
113,113,113,113,113,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
125,81,77,125,125,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
85,97,89,73,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
85,89,97,73,85,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
5,61,65,5,5,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 250}"
37,45,57,17,37,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 300}"
33,9,9,49,33,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 400}"
125,133,133,125,125,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 50}"
125,77,81,125,125,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 100}"
61,101,105,49,61,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 150}"
61,105,109,49,61,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 200}"
17,73,69,17,17,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 250}"
1,65,61,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 300}"
17,21,21,17,17,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 400}"
113,137,137,113,113,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 50}"
137,129,129,137,137,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 100}"
85,117,117,73,85,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 150}"
73,121,121,73,73,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 200}"
5,109,93,5,5,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 250}"
17,37,29,17,17,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 300}"
17,29,25,17,17,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 400}"
73,93,101,73,73,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
13,41,53,5,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
37,33,33,17,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
61,25,37,49,61,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
37,5,13,17,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
