rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
81,81,81,81,81,"{'learning_rate': 0.001, 'n_estimators': 50}"
80,80,80,80,80,"{'learning_rate': 0.001, 'n_estimators': 75}"
79,79,79,79,79,"{'learning_rate': 0.001, 'n_estimators': 100}"
78,78,78,78,78,"{'learning_rate': 0.001, 'n_estimators': 125}"
77,77,77,77,77,"{'learning_rate': 0.001, 'n_estimators': 150}"
76,76,76,76,76,"{'learning_rate': 0.001, 'n_estimators': 175}"
73,75,75,74,71,"{'learning_rate': 0.001, 'n_estimators': 200}"
74,74,74,75,73,"{'learning_rate': 0.001, 'n_estimators': 225}"
75,73,73,73,75,"{'learning_rate': 0.001, 'n_estimators': 250}"
72,72,72,72,48,"{'learning_rate': 0.01, 'n_estimators': 50}"
71,70,71,71,21,"{'learning_rate': 0.01, 'n_estimators': 75}"
70,69,70,70,11,"{'learning_rate': 0.01, 'n_estimators': 100}"
69,60,69,69,6,"{'learning_rate': 0.01, 'n_estimators': 125}"
68,57,68,68,8,"{'learning_rate': 0.01, 'n_estimators': 150}"
67,53,67,67,5,"{'learning_rate': 0.01, 'n_estimators': 175}"
65,51,66,66,1,"{'learning_rate': 0.01, 'n_estimators': 200}"
64,46,65,64,3,"{'learning_rate': 0.01, 'n_estimators': 225}"
63,44,63,63,2,"{'learning_rate': 0.01, 'n_estimators': 250}"
66,49,64,65,7,"{'learning_rate': 0.05, 'n_estimators': 50}"
62,43,60,61,17,"{'learning_rate': 0.05, 'n_estimators': 75}"
59,36,58,59,10,"{'learning_rate': 0.05, 'n_estimators': 100}"
51,24,42,55,14,"{'learning_rate': 0.05, 'n_estimators': 125}"
46,28,45,53,12,"{'learning_rate': 0.05, 'n_estimators': 150}"
33,9,25,39,13,"{'learning_rate': 0.05, 'n_estimators': 175}"
30,17,21,32,19,"{'learning_rate': 0.05, 'n_estimators': 200}"
26,20,19,30,25,"{'learning_rate': 0.05, 'n_estimators': 225}"
7,21,13,18,26,"{'learning_rate': 0.05, 'n_estimators': 250}"
60,58,62,62,4,"{'learning_rate': 0.07, 'n_estimators': 50}"
58,45,57,58,9,"{'learning_rate': 0.07, 'n_estimators': 75}"
55,42,44,56,23,"{'learning_rate': 0.07, 'n_estimators': 100}"
45,39,37,51,20,"{'learning_rate': 0.07, 'n_estimators': 125}"
35,34,31,44,15,"{'learning_rate': 0.07, 'n_estimators': 150}"
27,32,28,31,18,"{'learning_rate': 0.07, 'n_estimators': 175}"
19,30,17,27,24,"{'learning_rate': 0.07, 'n_estimators': 200}"
9,25,10,21,22,"{'learning_rate': 0.07, 'n_estimators': 225}"
31,22,9,27,35,"{'learning_rate': 0.07, 'n_estimators': 250}"
61,19,61,60,16,"{'learning_rate': 0.1, 'n_estimators': 50}"
56,6,43,57,28,"{'learning_rate': 0.1, 'n_estimators': 75}"
50,1,30,50,41,"{'learning_rate': 0.1, 'n_estimators': 100}"
39,2,22,42,51,"{'learning_rate': 0.1, 'n_estimators': 125}"
34,3,8,33,42,"{'learning_rate': 0.1, 'n_estimators': 150}"
20,4,5,22,38,"{'learning_rate': 0.1, 'n_estimators': 175}"
24,5,3,22,46,"{'learning_rate': 0.1, 'n_estimators': 200}"
15,7,2,18,32,"{'learning_rate': 0.1, 'n_estimators': 225}"
1,8,1,3,27,"{'learning_rate': 0.1, 'n_estimators': 250}"
54,59,52,54,36,"{'learning_rate': 0.2, 'n_estimators': 50}"
40,41,40,44,45,"{'learning_rate': 0.2, 'n_estimators': 75}"
20,35,27,22,38,"{'learning_rate': 0.2, 'n_estimators': 100}"
2,31,23,3,29,"{'learning_rate': 0.2, 'n_estimators': 125}"
23,29,24,14,60,"{'learning_rate': 0.2, 'n_estimators': 150}"
5,26,11,2,53,"{'learning_rate': 0.2, 'n_estimators': 175}"
3,33,7,1,52,"{'learning_rate': 0.2, 'n_estimators': 200}"
10,23,6,7,55,"{'learning_rate': 0.2, 'n_estimators': 225}"
8,16,4,3,57,"{'learning_rate': 0.2, 'n_estimators': 250}"
