rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
78,125,217,89,59,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
89,215,123,110,63,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
126,83,173,208,20,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
117,221,174,196,19,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
127,213,225,180,69,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
133,216,223,196,27,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
187,177,221,223,141,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
175,224,212,196,157,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
176,37,153,150,186,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
162,72,98,180,154,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
159,58,185,137,166,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
174,32,74,110,196,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
81,90,181,75,80,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
207,73,216,212,188,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
178,87,214,190,172,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
7,85,162,8,8,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
159,88,166,137,166,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
101,68,213,110,84,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
120,146,188,99,127,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
15,208,27,8,31,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
212,29,159,223,178,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
145,19,113,150,132,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
141,86,165,180,102,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
145,15,53,150,132,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
17,45,38,44,15,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
213,81,148,220,193,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
137,31,48,99,146,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
149,143,127,137,151,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
96,173,202,89,122,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
165,80,102,110,183,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
130,64,45,75,162,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
224,84,30,150,224,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
225,186,63,180,225,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
18,200,81,21,22,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
176,37,153,150,186,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
207,119,208,212,188,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
207,119,208,212,188,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
27,191,104,21,33,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
207,119,208,212,188,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
68,47,114,44,108,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
