rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
400,341,174,377,339,"{'max_bin': 5, 'min_child_samples': 10}"
421,169,105,377,419,"{'max_bin': 5, 'min_child_samples': 20}"
253,21,22,203,309,"{'max_bin': 5, 'min_child_samples': 30}"
6,205,145,47,1,"{'max_bin': 5, 'min_child_samples': 40}"
193,46,82,203,179,"{'max_bin': 5, 'min_child_samples': 50}"
323,421,180,302,323,"{'max_bin': 5, 'min_child_samples': 60}"
332,7,158,342,270,"{'max_bin': 5, 'min_child_samples': 70}"
258,53,86,243,260,"{'max_bin': 5, 'min_child_samples': 80}"
450,324,372,444,350,"{'max_bin': 5, 'min_child_samples': 90}"
338,267,388,377,202,"{'max_bin': 5, 'min_child_samples': 100}"
193,1,20,203,179,"{'max_bin': 5, 'min_child_samples': 110}"
514,399,296,513,432,"{'max_bin': 5, 'min_child_samples': 120}"
470,54,299,482,286,"{'max_bin': 5, 'min_child_samples': 130}"
450,41,179,444,350,"{'max_bin': 5, 'min_child_samples': 140}"
152,51,8,243,44,"{'max_bin': 5, 'min_child_samples': 150}"
386,244,37,444,132,"{'max_bin': 5, 'min_child_samples': 160}"
504,105,302,513,292,"{'max_bin': 5, 'min_child_samples': 170}"
473,393,457,500,214,"{'max_bin': 5, 'min_child_samples': 180}"
510,80,491,518,62,"{'max_bin': 5, 'min_child_samples': 190}"
520,159,404,520,275,"{'max_bin': 5, 'min_child_samples': 200}"
2,45,4,3,12,"{'max_bin': 15, 'min_child_samples': 10}"
154,109,51,128,236,"{'max_bin': 15, 'min_child_samples': 20}"
446,503,243,377,452,"{'max_bin': 15, 'min_child_samples': 30}"
39,16,2,73,39,"{'max_bin': 15, 'min_child_samples': 40}"
51,303,63,47,96,"{'max_bin': 15, 'min_child_samples': 50}"
89,252,193,73,156,"{'max_bin': 15, 'min_child_samples': 60}"
441,329,275,342,484,"{'max_bin': 15, 'min_child_samples': 70}"
164,103,39,302,26,"{'max_bin': 15, 'min_child_samples': 80}"
75,451,64,28,294,"{'max_bin': 15, 'min_child_samples': 90}"
27,26,10,28,56,"{'max_bin': 15, 'min_child_samples': 100}"
310,408,206,203,440,"{'max_bin': 15, 'min_child_samples': 110}"
165,265,92,170,175,"{'max_bin': 15, 'min_child_samples': 120}"
127,271,262,95,232,"{'max_bin': 15, 'min_child_samples': 130}"
409,238,325,243,501,"{'max_bin': 15, 'min_child_samples': 140}"
103,74,103,128,67,"{'max_bin': 15, 'min_child_samples': 150}"
193,279,252,203,179,"{'max_bin': 15, 'min_child_samples': 160}"
484,188,476,470,429,"{'max_bin': 15, 'min_child_samples': 170}"
487,499,477,500,289,"{'max_bin': 15, 'min_child_samples': 180}"
438,31,428,482,135,"{'max_bin': 15, 'min_child_samples': 190}"
490,219,461,513,139,"{'max_bin': 15, 'min_child_samples': 200}"
513,263,379,510,462,"{'max_bin': 25, 'min_child_samples': 10}"
505,458,341,470,513,"{'max_bin': 25, 'min_child_samples': 20}"
11,144,150,8,33,"{'max_bin': 25, 'min_child_samples': 30}"
96,136,61,95,104,"{'max_bin': 25, 'min_child_samples': 40}"
111,224,260,95,161,"{'max_bin': 25, 'min_child_samples': 50}"
