rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,9,36,14,95,"{'max_depth': -1, 'num_leaves': 221}"
5,84,27,4,46,"{'max_depth': -1, 'num_leaves': 231}"
58,50,45,50,131,"{'max_depth': -1, 'num_leaves': 241}"
34,55,52,23,116,"{'max_depth': -1, 'num_leaves': 251}"
63,38,58,53,133,"{'max_depth': -1, 'num_leaves': 261}"
25,3,22,14,113,"{'max_depth': -1, 'num_leaves': 271}"
34,32,31,14,125,"{'max_depth': -1, 'num_leaves': 281}"
28,8,9,23,98,"{'max_depth': -1, 'num_leaves': 291}"
48,11,19,34,128,"{'max_depth': -1, 'num_leaves': 301}"
74,26,53,53,142,"{'max_depth': -1, 'num_leaves': 311}"
60,49,14,34,140,"{'max_depth': -1, 'num_leaves': 321}"
9,59,7,4,89,"{'max_depth': -1, 'num_leaves': 331}"
1,18,1,1,24,"{'max_depth': -1, 'num_leaves': 341}"
20,10,35,14,95,"{'max_depth': 0, 'num_leaves': 221}"
5,83,25,4,46,"{'max_depth': 0, 'num_leaves': 231}"
58,51,44,50,131,"{'max_depth': 0, 'num_leaves': 241}"
34,56,55,23,116,"{'max_depth': 0, 'num_leaves': 251}"
63,37,59,53,133,"{'max_depth': 0, 'num_leaves': 261}"
25,2,21,14,113,"{'max_depth': 0, 'num_leaves': 271}"
34,29,30,14,125,"{'max_depth': 0, 'num_leaves': 281}"
28,7,8,23,98,"{'max_depth': 0, 'num_leaves': 291}"
48,12,18,34,128,"{'max_depth': 0, 'num_leaves': 301}"
74,25,54,53,142,"{'max_depth': 0, 'num_leaves': 311}"
60,48,13,34,140,"{'max_depth': 0, 'num_leaves': 321}"
9,58,5,4,89,"{'max_depth': 0, 'num_leaves': 331}"
1,19,2,1,24,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
