rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
107,30,71,62,173,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
67,46,40,129,8,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
106,178,216,184,10,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
130,165,176,184,38,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
5,140,100,11,11,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
180,186,191,205,55,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
203,60,141,220,70,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
165,141,134,193,65,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
203,143,160,220,70,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
107,22,63,62,173,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
102,171,89,160,53,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
122,58,94,85,161,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
184,7,15,184,133,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
181,169,165,200,67,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
73,197,147,85,58,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
158,106,140,115,188,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
151,137,172,129,147,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
130,166,102,115,145,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
107,22,63,62,173,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
87,213,173,129,31,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
8,65,4,6,41,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
51,114,20,44,79,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
14,210,97,29,13,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
28,110,205,21,75,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
44,145,28,62,48,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
124,98,135,115,116,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
40,75,26,27,108,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
107,30,71,62,173,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
160,103,9,103,195,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
187,99,129,129,198,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
12,146,2,4,101,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
11,124,7,11,43,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
68,164,27,29,136,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
10,185,6,6,56,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
162,105,14,85,207,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
17,161,1,2,156,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
107,30,71,62,173,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
107,27,65,62,173,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
107,27,65,62,173,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
107,30,71,62,173,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
