rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
27,364,45,20,472,"{'max_bin': 5, 'min_child_samples': 10}"
10,363,7,8,308,"{'max_bin': 5, 'min_child_samples': 20}"
20,467,84,16,469,"{'max_bin': 5, 'min_child_samples': 30}"
62,376,104,24,520,"{'max_bin': 5, 'min_child_samples': 40}"
54,420,108,24,506,"{'max_bin': 5, 'min_child_samples': 50}"
41,518,146,24,474,"{'max_bin': 5, 'min_child_samples': 60}"
71,464,135,36,509,"{'max_bin': 5, 'min_child_samples': 70}"
109,272,48,99,362,"{'max_bin': 5, 'min_child_samples': 80}"
7,152,25,6,214,"{'max_bin': 5, 'min_child_samples': 90}"
16,208,62,8,416,"{'max_bin': 5, 'min_child_samples': 100}"
54,416,159,24,506,"{'max_bin': 5, 'min_child_samples': 110}"
64,520,128,52,345,"{'max_bin': 5, 'min_child_samples': 120}"
36,355,317,36,236,"{'max_bin': 5, 'min_child_samples': 130}"
242,509,123,177,514,"{'max_bin': 5, 'min_child_samples': 140}"
27,513,122,20,472,"{'max_bin': 5, 'min_child_samples': 150}"
192,508,259,156,452,"{'max_bin': 5, 'min_child_samples': 160}"
21,510,24,24,126,"{'max_bin': 5, 'min_child_samples': 170}"
125,492,239,99,484,"{'max_bin': 5, 'min_child_samples': 180}"
180,519,319,177,181,"{'max_bin': 5, 'min_child_samples': 190}"
275,515,424,248,400,"{'max_bin': 5, 'min_child_samples': 200}"
87,309,58,66,433,"{'max_bin': 15, 'min_child_samples': 10}"
42,256,73,36,339,"{'max_bin': 15, 'min_child_samples': 20}"
1,13,11,1,204,"{'max_bin': 15, 'min_child_samples': 30}"
5,17,9,2,304,"{'max_bin': 15, 'min_child_samples': 40}"
60,143,66,66,62,"{'max_bin': 15, 'min_child_samples': 50}"
106,44,130,84,481,"{'max_bin': 15, 'min_child_samples': 60}"
18,87,53,8,466,"{'max_bin': 15, 'min_child_samples': 70}"
125,394,120,99,484,"{'max_bin': 15, 'min_child_samples': 80}"
