nohup: ignoring input
experiment: HUVEC eiip_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=59, TN=2987, FP=53, FN=93; precision=0.527, recall=0.388
accuracy: (test=0.954) average_precision: (test=0.365) balanced_accuracy: (test=0.685) f1: (test=0.447) roc_auc: (test=0.827) 2.75s
[fit 2/34] END n_estimators=20; total=3192, TP=58, TN=3011, FP=29, FN=94; precision=0.667, recall=0.382
accuracy: (test=0.961) average_precision: (test=0.484) balanced_accuracy: (test=0.686) f1: (test=0.485) roc_auc: (test=0.850) 4.54s
[fit 3/34] END n_estimators=30; total=3192, TP=63, TN=3008, FP=32, FN=89; precision=0.663, recall=0.414
accuracy: (test=0.962) average_precision: (test=0.501) balanced_accuracy: (test=0.702) f1: (test=0.510) roc_auc: (test=0.868) 5.62s
[fit 4/34] END n_estimators=40; total=3192, TP=70, TN=3006, FP=34, FN=82; precision=0.673, recall=0.461
accuracy: (test=0.964) average_precision: (test=0.536) balanced_accuracy: (test=0.725) f1: (test=0.547) roc_auc: (test=0.872) 9.44s
[fit 5/34] END n_estimators=50; total=3192, TP=68, TN=3009, FP=31, FN=84; precision=0.687, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.519) balanced_accuracy: (test=0.719) f1: (test=0.542) roc_auc: (test=0.853) 12.38s
[fit 6/34] END n_estimators=60; total=3192, TP=66, TN=3006, FP=34, FN=86; precision=0.660, recall=0.434
accuracy: (test=0.962) average_precision: (test=0.544) balanced_accuracy: (test=0.712) f1: (test=0.524) roc_auc: (test=0.870) 18.35s
[fit 7/34] END n_estimators=70; total=3192, TP=71, TN=3011, FP=29, FN=81; precision=0.710, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.545) balanced_accuracy: (test=0.729) f1: (test=0.563) roc_auc: (test=0.879) 23.95s
[fit 8/34] END n_estimators=80; total=3192, TP=69, TN=3008, FP=32, FN=83; precision=0.683, recall=0.454
accuracy: (test=0.964) average_precision: (test=0.552) balanced_accuracy: (test=0.722) f1: (test=0.545) roc_auc: (test=0.873) 30.24s
[fit 9/34] END n_estimators=90; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.556) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.879) 34.64s
[fit 10/34] END n_estimators=100; total=3192, TP=67, TN=3016, FP=24, FN=85; precision=0.736, recall=0.441
accuracy: (test=0.966) average_precision: (test=0.563) balanced_accuracy: (test=0.716) f1: (test=0.551) roc_auc: (test=0.890) 38.73s
[fit 11/34] END n_estimators=110; total=3192, TP=73, TN=3011, FP=29, FN=79; precision=0.716, recall=0.480
accuracy: (test=0.966) average_precision: (test=0.567) balanced_accuracy: (test=0.735) f1: (test=0.575) roc_auc: (test=0.887) 41.36s
[fit 12/34] END n_estimators=120; total=3192, TP=70, TN=3007, FP=33, FN=82; precision=0.680, recall=0.461
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.725) f1: (test=0.549) roc_auc: (test=0.885) 46.99s
[fit 13/34] END n_estimators=130; total=3192, TP=71, TN=3012, FP=28, FN=81; precision=0.717, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.562) balanced_accuracy: (test=0.729) f1: (test=0.566) roc_auc: (test=0.875) 51.61s
[fit 14/34] END n_estimators=140; total=3192, TP=65, TN=3013, FP=27, FN=87; precision=0.707, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.709) f1: (test=0.533) roc_auc: (test=0.886) 56.91s
[fit 15/34] END n_estimators=150; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.562) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.881) 58.87s
[fit 16/34] END n_estimators=160; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.881) 1.04min
[fit 17/34] END n_estimators=170; total=3192, TP=72, TN=3013, FP=27, FN=80; precision=0.727, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.564) balanced_accuracy: (test=0.732) f1: (test=0.574) roc_auc: (test=0.880) 1.08min
[fit 18/34] END n_estimators=180; total=3192, TP=75, TN=3011, FP=29, FN=77; precision=0.721, recall=0.493
accuracy: (test=0.967) average_precision: (test=0.568) balanced_accuracy: (test=0.742) f1: (test=0.586) roc_auc: (test=0.882) 1.18min
[fit 19/34] END n_estimators=190; total=3192, TP=70, TN=3012, FP=28, FN=82; precision=0.714, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.567) balanced_accuracy: (test=0.726) f1: (test=0.560) roc_auc: (test=0.874) 1.26min
[fit 20/34] END n_estimators=200; total=3192, TP=71, TN=3014, FP=26, FN=81; precision=0.732, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.570) balanced_accuracy: (test=0.729) f1: (test=0.570) roc_auc: (test=0.878) 1.29min
[fit 21/34] END n_estimators=210; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.883) 1.34min
[fit 22/34] END n_estimators=220; total=3192, TP=69, TN=3014, FP=26, FN=83; precision=0.726, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.567) balanced_accuracy: (test=0.723) f1: (test=0.559) roc_auc: (test=0.886) 1.41min
[fit 23/34] END n_estimators=230; total=3192, TP=70, TN=3015, FP=25, FN=82; precision=0.737, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.570) balanced_accuracy: (test=0.726) f1: (test=0.567) roc_auc: (test=0.891) 1.51min
[fit 24/34] END n_estimators=240; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.890) 1.53min
[fit 25/34] END n_estimators=250; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.578) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.887) 1.62min
[fit 26/34] END n_estimators=260; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.883) 1.71min
[fit 27/34] END n_estimators=270; total=3192, TP=69, TN=3010, FP=30, FN=83; precision=0.697, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.722) f1: (test=0.550) roc_auc: (test=0.882) 1.73min
[fit 28/34] END n_estimators=280; total=3192, TP=71, TN=3009, FP=31, FN=81; precision=0.696, recall=0.467
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.728) f1: (test=0.559) roc_auc: (test=0.886) 1.83min
[fit 29/34] END n_estimators=290; total=3192, TP=73, TN=3010, FP=30, FN=79; precision=0.709, recall=0.480
accuracy: (test=0.966) average_precision: (test=0.575) balanced_accuracy: (test=0.735) f1: (test=0.573) roc_auc: (test=0.889) 1.89min
[fit 30/34] END n_estimators=300; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.891) 1.97min
[fit 31/34] END n_estimators=310; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.896) 1.98min
[fit 32/34] END n_estimators=320; total=3192, TP=70, TN=3011, FP=29, FN=82; precision=0.707, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.725) f1: (test=0.558) roc_auc: (test=0.891) 2.08min
[fit 33/34] END n_estimators=330; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.893) 2.15min
[fit 34/34] END n_estimators=340; total=3192, TP=71, TN=3012, FP=28, FN=81; precision=0.717, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.571) balanced_accuracy: (test=0.729) f1: (test=0.566) roc_auc: (test=0.887) 2.30min
clf.best_estimator_params: {'n_estimators': 310}
best params found in line [32] for metric [roc_auc] in rank file
best params found in fit [31] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=3192) TP: (test=67.000) TN: (test=3011.000) FP: (test=29.000) FN: (test=85.000) precision: (test=0.698) recall: (test=0.441) accuracy: (test=0.964) average_precision: (test=0.576) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.896) ]
write rank test to csv!!!
write over!!!
第二次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 310, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 150 fits
[fit 1/150] END max_depth=None; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.886) 2.08min
[fit 2/150] END max_depth=1; total=3192, TP=90, TN=1651, FP=1389, FN=62; precision=0.061, recall=0.592
accuracy: (test=0.545) average_precision: (test=0.063) balanced_accuracy: (test=0.568) f1: (test=0.110) roc_auc: (test=0.592) 17.80s
[fit 3/150] END max_depth=2; total=3192, TP=89, TN=1674, FP=1366, FN=63; precision=0.061, recall=0.586
accuracy: (test=0.552) average_precision: (test=0.082) balanced_accuracy: (test=0.568) f1: (test=0.111) roc_auc: (test=0.608) 25.59s
[fit 4/150] END max_depth=3; total=3192, TP=87, TN=1750, FP=1290, FN=65; precision=0.063, recall=0.572
accuracy: (test=0.576) average_precision: (test=0.098) balanced_accuracy: (test=0.574) f1: (test=0.114) roc_auc: (test=0.627) 33.42s
[fit 5/150] END max_depth=4; total=3192, TP=84, TN=1858, FP=1182, FN=68; precision=0.066, recall=0.553
accuracy: (test=0.608) average_precision: (test=0.128) balanced_accuracy: (test=0.582) f1: (test=0.118) roc_auc: (test=0.648) 41.54s
[fit 6/150] END max_depth=5; total=3192, TP=84, TN=1978, FP=1062, FN=68; precision=0.073, recall=0.553
accuracy: (test=0.646) average_precision: (test=0.152) balanced_accuracy: (test=0.602) f1: (test=0.129) roc_auc: (test=0.670) 50.19s
[fit 7/150] END max_depth=6; total=3192, TP=79, TN=2150, FP=890, FN=73; precision=0.082, recall=0.520
accuracy: (test=0.698) average_precision: (test=0.194) balanced_accuracy: (test=0.613) f1: (test=0.141) roc_auc: (test=0.698) 56.82s
[fit 8/150] END max_depth=7; total=3192, TP=82, TN=2327, FP=713, FN=70; precision=0.103, recall=0.539
accuracy: (test=0.755) average_precision: (test=0.244) balanced_accuracy: (test=0.652) f1: (test=0.173) roc_auc: (test=0.721) 1.04min
[fit 9/150] END max_depth=8; total=3192, TP=79, TN=2521, FP=519, FN=73; precision=0.132, recall=0.520
accuracy: (test=0.815) average_precision: (test=0.280) balanced_accuracy: (test=0.675) f1: (test=0.211) roc_auc: (test=0.741) 1.13min
[fit 10/150] END max_depth=9; total=3192, TP=76, TN=2722, FP=318, FN=76; precision=0.193, recall=0.500
accuracy: (test=0.877) average_precision: (test=0.324) balanced_accuracy: (test=0.698) f1: (test=0.278) roc_auc: (test=0.772) 1.22min
