rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
45,1,1,23,60,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
18,60,13,7,46,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
5,17,3,1,28,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
35,14,5,10,59,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
65,31,15,41,75,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
76,5,18,60,79,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
71,13,2,68,66,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
51,6,6,41,52,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
45,4,7,23,60,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
15,36,12,10,31,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
45,20,20,23,60,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
1,27,17,1,3,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
74,15,10,41,84,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
83,3,11,60,89,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
4,16,8,1,15,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
29,7,4,10,48,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
65,19,23,41,75,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
83,12,24,60,89,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
78,2,14,31,88,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
60,30,22,31,72,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
69,9,21,31,83,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
9,26,28,14,16,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
5,58,31,1,28,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
1,23,16,1,3,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
18,28,32,7,46,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
45,32,9,23,60,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
15,33,34,10,31,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
60,8,19,31,72,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
8,55,36,7,30,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
65,52,40,41,75,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
70,79,63,54,78,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
36,11,27,23,49,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
23,29,25,14,33,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
9,42,30,14,16,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
36,18,29,23,49,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
60,24,33,31,72,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
40,37,38,41,39,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
71,38,42,68,66,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
45,77,37,23,60,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
68,22,35,60,65,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
