rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
36,26,1,6,87,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
79,32,6,51,86,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
3,67,13,3,41,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
7,63,10,3,76,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
52,11,3,26,80,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
8,58,5,5,60,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
4,6,2,2,75,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
40,2,4,26,63,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
86,73,9,59,89,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
38,17,12,19,78,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
85,34,15,51,90,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
26,40,7,19,47,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
2,42,16,1,58,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
53,13,23,36,65,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
13,89,14,6,61,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
14,27,17,11,44,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
9,4,11,6,42,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
38,33,21,19,78,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
71,44,22,26,88,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
9,8,19,6,42,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
23,46,24,11,62,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
31,14,18,11,77,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
14,48,31,11,44,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
26,39,20,19,47,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
17,70,41,19,26,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
40,24,26,26,63,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
42,86,44,36,50,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
64,51,46,26,84,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
66,87,35,36,81,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
68,15,27,51,70,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
42,12,30,36,50,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
53,10,8,36,65,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
11,50,45,11,25,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
53,9,25,36,65,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
42,53,39,36,50,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
53,3,33,36,65,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
64,38,42,26,84,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
76,23,38,75,56,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
53,29,29,36,65,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
59,52,53,59,30,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
6,21,28,6,24,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
80,41,43,59,82,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
42,77,68,36,50,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
83,28,32,75,83,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
47,82,37,51,28,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
5,88,66,11,9,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
84,69,54,80,73,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
12,37,47,19,14,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
26,83,58,19,47,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
42,45,51,36,50,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
68,62,49,51,70,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
37,68,36,36,27,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
14,54,48,11,44,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
19,1,34,26,15,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
76,5,60,75,56,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
72,76,75,75,35,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
19,20,50,26,15,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
32,66,62,36,19,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
19,49,52,26,15,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
59,30,73,59,30,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
19,25,40,26,15,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
49,19,74,59,20,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
59,61,57,59,30,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
59,72,76,59,30,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
70,79,71,59,55,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
33,35,63,59,5,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
81,71,64,84,38,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
67,47,65,80,12,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
78,36,83,80,37,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
72,57,67,75,35,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
47,56,55,51,28,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
75,81,79,59,72,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
18,64,85,51,2,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
29,18,61,51,4,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
81,59,78,84,38,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
49,55,69,59,20,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
24,78,82,36,10,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
49,16,80,59,20,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
1,60,56,11,1,"{'min_samples_leaf': 9, 'min_samples_split': 8}"
89,80,72,87,74,"{'min_samples_leaf': 9, 'min_samples_split': 9}"
30,75,59,59,3,"{'min_samples_leaf': 9, 'min_samples_split': 10}"
58,85,89,80,8,"{'min_samples_leaf': 10, 'min_samples_split': 2}"
24,43,88,36,10,"{'min_samples_leaf': 10, 'min_samples_split': 3}"
87,74,90,87,23,"{'min_samples_leaf': 10, 'min_samples_split': 4}"
33,84,87,59,5,"{'min_samples_leaf': 10, 'min_samples_split': 5}"
33,7,81,59,5,"{'min_samples_leaf': 10, 'min_samples_split': 6}"
88,31,86,89,40,"{'min_samples_leaf': 10, 'min_samples_split': 7}"
74,90,84,84,13,"{'min_samples_leaf': 10, 'min_samples_split': 8}"
59,65,77,59,30,"{'min_samples_leaf': 10, 'min_samples_split': 9}"
90,22,70,90,59,"{'min_samples_leaf': 10, 'min_samples_split': 10}"
