rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
21,29,32,18,22,{'n_estimators': 20}
32,31,33,32,29,{'n_estimators': 30}
33,33,30,33,32,{'n_estimators': 40}
25,32,31,23,25,{'n_estimators': 50}
8,28,28,10,6,{'n_estimators': 60}
29,30,29,27,30,{'n_estimators': 70}
5,21,24,10,4,{'n_estimators': 80}
17,22,26,10,18,{'n_estimators': 90}
14,15,22,23,7,{'n_estimators': 100}
17,8,23,10,18,{'n_estimators': 110}
29,2,20,27,30,{'n_estimators': 120}
31,24,25,27,33,{'n_estimators': 130}
11,27,27,10,12,{'n_estimators': 140}
2,16,5,2,2,{'n_estimators': 150}
9,5,19,6,10,{'n_estimators': 160}
21,25,18,18,22,{'n_estimators': 170}
21,19,13,18,22,{'n_estimators': 180}
3,26,21,6,3,{'n_estimators': 190}
11,14,9,10,12,{'n_estimators': 200}
25,18,14,23,25,{'n_estimators': 210}
13,12,17,6,17,{'n_estimators': 220}
15,13,16,18,14,{'n_estimators': 230}
24,1,15,27,16,{'n_estimators': 240}
6,20,12,3,8,{'n_estimators': 250}
1,11,7,1,1,{'n_estimators': 260}
9,23,8,6,10,{'n_estimators': 270}
28,4,6,27,28,{'n_estimators': 280}
15,7,3,18,14,{'n_estimators': 290}
4,17,4,3,5,{'n_estimators': 300}
25,9,2,23,25,{'n_estimators': 310}
17,10,10,10,18,{'n_estimators': 320}
17,6,11,10,18,{'n_estimators': 330}
6,3,1,3,8,{'n_estimators': 340}
