rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
33,33,34,32,34,{'n_estimators': 10}
34,34,33,34,33,{'n_estimators': 20}
32,30,32,33,31,{'n_estimators': 30}
29,26,31,30,27,{'n_estimators': 40}
6,31,26,8,6,{'n_estimators': 50}
31,32,30,30,32,{'n_estimators': 60}
24,28,29,17,28,{'n_estimators': 70}
30,29,28,28,30,{'n_estimators': 80}
1,27,25,1,4,{'n_estimators': 90}
15,20,27,19,10,{'n_estimators': 100}
21,14,18,22,15,{'n_estimators': 110}
3,1,2,6,1,{'n_estimators': 120}
13,23,8,2,29,{'n_estimators': 130}
14,12,22,22,3,{'n_estimators': 140}
6,8,24,8,6,{'n_estimators': 150}
25,6,21,26,17,{'n_estimators': 160}
4,7,23,2,5,{'n_estimators': 170}
21,13,19,22,15,{'n_estimators': 180}
6,3,6,8,6,{'n_estimators': 190}
9,25,17,12,9,{'n_estimators': 200}
2,24,16,2,2,{'n_estimators': 210}
20,16,12,17,23,{'n_estimators': 220}
16,15,10,12,20,{'n_estimators': 230}
5,21,20,2,11,{'n_estimators': 240}
19,17,13,19,14,{'n_estimators': 250}
27,18,14,28,18,{'n_estimators': 260}
12,9,9,12,13,{'n_estimators': 270}
16,4,7,12,20,{'n_estimators': 280}
11,19,15,6,19,{'n_estimators': 290}
23,10,4,19,24,{'n_estimators': 300}
26,11,5,22,25,{'n_estimators': 310}
16,2,11,12,20,{'n_estimators': 320}
9,22,1,8,12,{'n_estimators': 330}
28,5,3,26,26,{'n_estimators': 340}
