rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
25,18,4,12,89,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
2,85,11,2,44,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
41,16,14,25,85,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
2,17,3,2,44,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
14,24,13,12,46,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
14,26,15,12,46,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
1,50,1,1,65,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
13,14,26,10,80,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
44,57,5,45,56,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
26,59,2,20,82,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
4,71,6,2,66,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
9,10,18,7,68,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
9,61,17,7,68,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
52,1,8,33,86,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
19,23,9,12,70,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
63,12,31,33,90,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
62,60,20,45,83,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
5,49,22,5,23,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
21,31,28,12,81,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
6,69,21,5,67,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
14,53,10,12,46,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
27,9,33,25,50,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
33,6,12,25,72,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
42,27,32,33,74,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
22,34,16,20,71,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
70,37,35,58,77,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
51,68,40,45,75,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
14,28,7,12,46,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
27,62,30,25,50,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
44,7,24,45,56,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
23,15,23,25,27,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
8,10,29,10,2,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
52,80,19,33,86,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
33,50,27,25,72,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
44,4,45,45,56,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
37,73,46,33,53,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
35,72,38,33,29,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
27,47,54,25,50,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
20,20,43,20,26,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
77,2,36,67,84,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
7,42,41,7,24,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
65,5,34,53,76,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
61,32,48,53,60,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
44,55,49,45,56,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
11,36,25,12,25,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
30,86,47,33,6,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
18,43,39,20,5,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
40,63,42,45,9,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
37,29,37,33,53,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
82,67,44,79,78,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
54,40,60,58,11,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
43,13,53,45,31,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
