rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
224,235,235,233,206,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
228,237,236,235,209,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
227,236,238,234,207,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
238,234,234,231,238,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
208,226,230,199,214,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
225,221,221,224,233,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
210,215,214,219,217,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
209,212,212,211,218,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
206,203,196,200,207,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
189,186,186,189,188,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
186,175,161,175,186,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
164,157,128,152,168,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
126,118,106,116,135,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
98,100,90,95,102,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
85,86,78,82,85,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
75,78,73,72,78,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
228,239,239,235,209,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
228,237,236,235,209,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
237,233,232,230,237,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
232,227,226,240,214,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
239,224,224,226,239,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
220,218,215,220,219,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
212,211,211,212,219,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
203,202,204,201,202,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
