rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
206,224,221,235,206,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
207,225,220,236,207,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
216,232,228,230,222,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
216,231,225,230,222,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
224,240,231,226,234,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
238,223,235,76,227,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
230,213,216,221,231,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
205,205,212,218,205,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
196,196,196,208,196,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
195,186,186,193,195,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
168,175,185,182,169,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
160,155,152,170,160,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
115,114,109,121,115,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
94,94,90,97,96,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
83,85,76,82,86,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
71,78,69,71,78,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
207,226,222,236,207,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
209,227,223,228,212,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
216,232,228,230,222,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
239,222,232,115,237,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
234,221,239,238,238,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
231,214,215,222,232,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
215,208,211,219,214,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
204,197,203,207,204,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
194,187,187,197,194,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
170,176,175,183,170,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
158,158,164,171,156,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
122,121,116,129,122,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
100,100,97,100,100,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
84,86,81,85,85,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
68,70,65,68,71,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
56,63,55,55,33,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
216,234,226,230,222,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
209,228,224,228,212,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
214,239,230,227,220,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
240,236,240,60,240,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
231,215,214,222,232,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
213,206,208,217,211,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
203,202,197,211,203,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
193,189,188,194,192,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
169,177,176,184,168,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
159,165,165,172,155,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
144,133,124,143,144,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
108,106,104,110,111,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
87,89,88,90,87,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
73,73,70,74,74,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
58,60,54,58,22,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
42,53,44,39,28,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
216,235,227,230,222,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
225,237,234,224,228,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
237,230,236,75,221,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
227,216,213,220,230,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
212,207,205,216,210,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
201,198,204,208,201,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
191,193,189,200,187,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
178,178,177,185,178,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
166,166,167,173,166,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
151,146,135,160,151,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
113,115,112,118,112,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
97,95,95,98,98,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
79,80,80,83,81,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
64,64,61,65,32,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
47,38,45,46,15,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
33,40,32,31,37,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
225,238,233,224,228,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
235,229,237,240,239,"{'C': 1.0, 'gamma': 0.125, 'kernel': 'rbf'}"
229,217,217,107,216,"{'C': 1.0, 'gamma': 0.25, 'kernel': 'rbf'}"
211,209,206,212,209,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'rbf'}"
201,203,202,208,201,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
179,190,192,200,179,"{'C': 1.0, 'gamma': 2.0, 'kernel': 'rbf'}"
183,179,178,188,188,"{'C': 1.0, 'gamma': 4.0, 'kernel': 'rbf'}"
167,167,166,174,167,"{'C': 1.0, 'gamma': 8.0, 'kernel': 'rbf'}"
156,151,149,161,159,"{'C': 1.0, 'gamma': 16.0, 'kernel': 'rbf'}"
123,122,119,128,123,"{'C': 1.0, 'gamma': 32.0, 'kernel': 'rbf'}"
106,103,102,108,110,"{'C': 1.0, 'gamma': 64.0, 'kernel': 'rbf'}"
88,87,87,91,92,"{'C': 1.0, 'gamma': 128.0, 'kernel': 'rbf'}"
72,71,71,73,62,"{'C': 1.0, 'gamma': 256.0, 'kernel': 'rbf'}"
55,56,53,56,17,"{'C': 1.0, 'gamma': 512.0, 'kernel': 'rbf'}"
14,20,33,30,16,"{'C': 1.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
4,41,14,11,34,"{'C': 1.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
233,220,238,238,236,"{'C': 2.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
228,218,218,106,215,"{'C': 2.0, 'gamma': 0.125, 'kernel': 'rbf'}"
221,210,207,212,217,"{'C': 2.0, 'gamma': 0.25, 'kernel': 'rbf'}"
200,201,198,206,200,"{'C': 2.0, 'gamma': 0.5, 'kernel': 'rbf'}"
180,188,190,202,180,"{'C': 2.0, 'gamma': 1.0, 'kernel': 'rbf'}"
192,182,179,188,193,"{'C': 2.0, 'gamma': 2.0, 'kernel': 'rbf'}"
176,168,168,175,176,"{'C': 2.0, 'gamma': 4.0, 'kernel': 'rbf'}"
165,156,156,162,165,"{'C': 2.0, 'gamma': 8.0, 'kernel': 'rbf'}"
145,132,128,139,148,"{'C': 2.0, 'gamma': 16.0, 'kernel': 'rbf'}"
112,110,110,116,113,"{'C': 2.0, 'gamma': 32.0, 'kernel': 'rbf'}"
101,96,96,99,103,"{'C': 2.0, 'gamma': 64.0, 'kernel': 'rbf'}"
80,79,82,84,82,"{'C': 2.0, 'gamma': 128.0, 'kernel': 'rbf'}"
65,65,63,66,25,"{'C': 2.0, 'gamma': 256.0, 'kernel': 'rbf'}"
45,36,46,45,8,"{'C': 2.0, 'gamma': 512.0, 'kernel': 'rbf'}"
1,8,2,11,20,"{'C': 2.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
17,43,13,13,61,"{'C': 2.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
