rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
57,25,34,48,59,"{'reg_alpha': 0, 'reg_lambda': 0}"
23,68,18,17,31,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
7,63,7,1,16,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
23,24,2,17,31,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
23,2,16,17,31,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
26,20,25,27,20,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
20,1,3,14,30,"{'reg_alpha': 0, 'reg_lambda': 1}"
70,71,59,65,70,"{'reg_alpha': 0, 'reg_lambda': 2}"
13,22,50,8,27,"{'reg_alpha': 0, 'reg_lambda': 3}"
16,36,47,17,12,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
58,38,22,59,50,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
51,29,37,48,48,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
51,54,53,48,48,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
55,4,27,40,64,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
47,72,44,48,39,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
10,37,14,1,26,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
74,11,48,59,80,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
9,39,10,14,7,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
21,51,19,17,18,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
66,27,72,69,51,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
76,48,62,73,75,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
7,60,17,1,16,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
34,16,20,17,55,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
54,17,23,27,73,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
35,69,38,27,45,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
43,73,26,27,56,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
55,15,13,40,64,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
80,43,64,80,78,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
3,55,11,1,9,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
1,50,6,8,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
46,30,28,40,47,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
59,32,57,48,66,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
13,46,8,8,27,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
37,53,39,40,35,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
33,23,5,27,34,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
59,21,58,48,66,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
32,14,40,17,44,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
3,3,4,1,9,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
43,13,12,27,56,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
35,45,9,27,45,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
43,18,36,27,56,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
77,78,45,73,81,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
31,28,21,14,54,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
