rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,11,2,1,1,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
16,16,13,14,16,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
8,5,8,6,9,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
2,4,1,2,3,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
3,15,12,3,4,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
12,12,9,11,12,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
11,13,6,13,7,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
15,9,11,14,15,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
10,1,3,10,11,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
9,14,16,6,10,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
7,3,7,6,6,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,8,15,14,14,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
5,6,5,3,8,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
4,7,14,5,2,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
6,10,10,6,5,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
13,2,4,11,13,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
